filename,onset,offset,speaker,phonemes
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,0.0,0.72,KCHI,k i z
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,1.62,2.42,KCHI,d ʌ k s
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,3.32,3.98,KCHI,ɛ ɡ s
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,6.2,7.3,KCHI,d æ d ɛ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,10.9,11.92,KCHI,d ɛ d ɛ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,13.7,14.82,KCHI,d æ d æ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,15.92,16.6,KCHI,n ɛ s
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,21.76,22.82,KCHI,p f w ɛ t
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,26.8,27.86,KCHI,d w æ p s
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,31.96,32.88,KCHI,d ɛ d ɛ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,34.32,35.18,KCHI,d ɛ d ɛ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,36.74,40.18,KCHI,ɛ s t ʌ k ɛ l ʌ ʃ w ʌ w i
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,43.36,45.22,KCHI,ɛ s w ʌ l i
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,48.78,50.42,KCHI,p d æ d ɛ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,51.74,51.88,KCHI,
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,52.26,53.62,KCHI,p ʌ ʌ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,55.4,56.38,KCHI,d r æ p
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,59.98,61.18,KCHI,d æ d æ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,64.84,65.48,KCHI,j e ɪ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,67.0,67.66,KCHI,b ʌ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,68.0,68.74,KCHI,
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,70.1,71.12,KCHI,p e ɪ t s
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,74.98,75.96,KCHI,d ɛ d ɛ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,77.82,78.68,KCHI,h i t s
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,80.8,81.6,KCHI,b i d s
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,83.98,85.02,KCHI,p ʌ p s
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,86.36,87.5,KCHI,t o ʃ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,89.46,89.92,KCHI,s i
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,91.42,92.18,KCHI,b l æ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,98.64,99.34,KCHI,h ɛ n
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,101.7,102.6,KCHI,b ɑ k s
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,104.04,104.74,KCHI,k ɛ t
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,108.54,109.18,KCHI,b u t s
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,110.18,111.2,KCHI,n ɛ p s
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,113.26,114.24,KCHI,ɡ ʌ k
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,119.88,120.76,KCHI,p ɛ t s
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,124.36,125.32,KCHI,d æ d ɛ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,126.86,127.64,KCHI,d æ d ə
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,129.22,129.94,KCHI,n o
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,131.36,132.26,KCHI,p e k
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,135.66,136.42,KCHI,d ɛ d ɛ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,139.9,140.96,KCHI,d ɛ d ɛ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,142.88,143.66,KCHI,ʌ s
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,145.72,146.16,KCHI,ɛ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,146.28,146.42,KCHI,
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,149.02,149.7,KCHI,m u
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,155.3,156.2,KCHI,d æ d æ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,161.16,163.18,KCHI,ʌ s ʊ k ə
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,163.38,164.18,KCHI,k w æ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,165.7,166.04,KCHI,ʌ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,169.04,170.0,KCHI,t ɛ d æ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,171.54,172.36,KCHI,t r æ b
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,173.76,174.48,KCHI,b w ʌ s
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,181.72,183.44,KCHI,ɛ h ɛ n
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,187.36,188.72,KCHI,ʌ m ɑ m i
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,191.04,192.28,KCHI,ɡ w ʌ
lily_010912__f2bd64de51d3f77e57f24f2ddf95a610.wav,193.36,193.66,KCHI,
