filename,onset,offset,speaker,phonemes
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,5.2,5.86,KCHI,b ɑ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,6.04,9.86,KCHI,w ɛ l ə ɛ n l ɑ l ɑ l ɑ l ɑ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,12.36,13.88,KCHI,d l ɑ l ɑ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,16.22,16.66,KCHI,u
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,17.56,17.98,KCHI,ɪ s
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,22.0,23.18,KCHI,n o
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,31.84,33.4,KCHI,ɛ n n ɛ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,34.36,35.06,KCHI,j ɛ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,36.24,37.0,KCHI,k e ɪ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,37.96,39.0,KCHI,o k e ɪ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,45.3,46.54,KCHI,e ɪ ɑ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,47.76,48.52,KCHI,ɑ n
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,49.4,50.86,KCHI,ɑ ɐ̃
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,56.94,59.38,KCHI,w ɪ w ʌ ɡ o ɪ ɡ o ɪ ɡ ə w ɪ ɡ ə
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,60.62,61.7,KCHI,ɪ ɡ ə w ɛ ɡ ə
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,62.56,63.66,KCHI,w ɪ ɡ ə w ɪ ɡ ə
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,65.86,66.8,KCHI,w ɪ ɡ ə w ɪ ɡ ə
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,67.32,67.66,KCHI,
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,67.92,69.14,KCHI,w ɪ ɡ ə w ɪ ɡ ə
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,69.84,70.74,KCHI,w ɪ ɡ ə i ʊ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,72.46,73.24,KCHI,
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,75.7,76.68,KCHI,w ɪ ɡ ə w ɪ ɡ ə
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,80.0,80.86,KCHI,o k e ɪ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,84.22,84.82,KCHI,j ɛ s
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,102.24,103.26,KCHI,p æ p æ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,103.66,104.78,KCHI,j æ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,109.34,111.44,KCHI,o w ɪ ɡ o w ɪ ɡ o w ɪ ɡ ə
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,111.6,112.5,KCHI,w ɪ ɡ o w ɪ ɡ o
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,114.12,115.36,KCHI,
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,118.06,118.8,KCHI,j æ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,119.72,123.94,KCHI,w æ l ə d o n o w ʌ t d æ ʃ e ə w ɪ ɡ w s
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,126.94,127.68,KCHI,w ɛ ɡ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,128.12,131.9,KCHI,d o ɡ ɑ ɡ ɡ ɡ ɡ ɡ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,136.16,137.04,KCHI,w ɛ d ɪ s
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,138.4,138.92,KCHI,j ɛ s
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,143.28,143.96,KCHI,l ɛ l i
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,144.94,146.0,KCHI,ɛ n m ɑ m i
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,147.98,149.02,KCHI,w ɪ w ɪ ɡ ə
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,150.74,151.86,KCHI,w i ɡ w ɪ ɡ ə
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,159.8,160.66,KCHI,n o
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,164.4,165.06,KCHI,n o
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,167.58,168.72,KCHI,o j æ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,169.52,170.08,KCHI,n o
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,170.34,171.42,KCHI,n o u
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,172.02,172.74,KCHI,n o
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,176.38,178.64,KCHI,w ʌ w o w u u u
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,179.1,182.86,KCHI,u w æ æ æ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,188.26,189.34,KCHI,n ɪ k w ɪ s
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,193.26,194.78,KCHI,n o n o
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,196.28,197.16,KCHI,n o l u
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,198.84,199.6,KCHI,ɑ n ə
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,207.98,209.06,KCHI,j ɛ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,209.98,211.02,KCHI,ʌ n ʊ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,218.9,219.54,KCHI,n o
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,220.22,221.54,KCHI,n o m ɑ m i
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,223.76,226.6,KCHI,ʌ w ɛ l ə w ɛ l ə
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,228.54,229.42,KCHI,n o
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,232.24,232.98,KCHI,j ɛ s
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,235.58,237.28,KCHI,w ʌ l ə
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,239.6,241.64,KCHI,o w ɛ l ə
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,245.5,246.76,KCHI,w ɛ l ə
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,250.48,252.76,KCHI,ɡ o w ɪ ɡ o ɪ ɡ o ɡ ə ɪ ɡ ə
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,257.08,257.62,KCHI,j ɛ s
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,259.94,260.84,KCHI,ʌ ʌ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,273.0,274.42,KCHI,l ʊ w ɪ ɡ ə
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,274.62,275.64,KCHI,l ɪ ɡ ə w ɪ ɡ ə
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,277.34,278.08,KCHI,j
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,279.84,280.82,KCHI,u w ɪ ə
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,284.36,285.26,KCHI,h ɛ w o
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,292.26,294.8,KCHI,h ɑ k k ɛ ɛ n s æ l i
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,296.3,297.38,KCHI,h ɑ k ə k ɐ̃
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,300.98,302.08,KCHI,s æ l i
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,303.08,306.78,KCHI,ɛ n l o l i w ʌ ɪ z w ʌ n s u ɑ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,309.24,310.0,KCHI,w a ɪ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,311.28,312.52,KCHI,w e ɪ k o t
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,313.88,314.42,KCHI,ɪ n ə
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,314.8,316.16,KCHI,ɛ n ə s w ɛ d o
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,317.52,319.66,KCHI,ɛ n ə k æ p
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,320.64,321.92,KCHI,ɛ n ə h æ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,323.34,324.66,KCHI,ɛ n s w ɛ d ʊ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,325.14,326.14,KCHI,ɛ n ɡ o p
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,326.36,331.8,KCHI,ɡ o b ʌ k ɛ s ɛ s ʌ s ɪ t ʌ ə s ɑ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,339.14,342.28,KCHI,m ɑ m i z ə k ʊ k ɛ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,343.48,344.04,KCHI,b l ɛ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,345.28,346.04,KCHI,
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,348.18,348.72,KCHI,b w ɛ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,351.1,351.58,KCHI,b w ɛ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,351.96,353.34,KCHI,b w æ f w ɛ
lily_011107__8aee1e18f13e57cb6b2e4af8e1b33395.wav,356.98,362.18,KCHI,d ɛ d ə d ɛ z ə ɑ m i ɪ z ə ɪ m i l ɑ l i p ɑ
