filename,onset,offset,speaker,phonemes
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,6.4,7.22,KCHI,w ɛ
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,7.8,9.24,KCHI,m ʌ w ʌ l ə
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,11.96,13.1,KCHI,ɛ j e ɪ
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,23.34,23.88,KCHI,h ʌ
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,35.54,37.0,KCHI,h ɛ w e
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,41.56,45.2,KCHI,ɪ s ʌ m ʌ m d ʌ m ɛ s ɪ ŋ
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,45.42,47.38,KCHI,ɪ s n ɛ k ʃ ɪ ŋ
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,47.76,48.98,KCHI,ɑ n ə k j u
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,50.56,51.24,KCHI,j æ
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,52.78,54.82,KCHI,w ɛ s ɑ n ə k u
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,68.92,70.96,KCHI,m ɛ s ɪ ɡ ʌ ɡ ɑ
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,74.72,75.62,KCHI,f i z ɑ
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,77.7,78.48,KCHI,s k ʌ v ə
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,89.14,89.58,KCHI,d u
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,90.76,91.4,KCHI,b ɛ s
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,92.02,92.54,KCHI,d u
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,129.1,130.68,KCHI,f a ɪ ə h a ɪ d w ɪ n
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,142.24,144.54,KCHI,f a ɪ ə f a ɪ d ə f ʊ k
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,147.48,149.94,KCHI,ɪ f ɛ f a ɪ ə d r ʌ k
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,172.78,174.36,KCHI,f a ɪ h a ɪ d ʒ r ɪ n
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,177.6,179.1,KCHI,a m ɑ
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,181.16,181.6,KCHI,
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,190.0,192.66,KCHI,a
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,193.48,194.92,KCHI,e ɪ
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,199.28,200.6,KCHI,a ɪ f ɪ k s
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,205.18,207.64,KCHI,h a h a d
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,208.06,209.0,KCHI,t u
lily_020004__7f01796dff12f48c488d7bf5c66e522f.wav,220.68,221.1,KCHI,ɑ
