filename,onset,offset,speaker,phonemes
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,1.1,1.84,KCHI,j ɛ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,3.34,4.34,KCHI,j ɛ k j ɛ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,12.66,13.64,KCHI,m
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,13.88,15.08,KCHI,p w e ɪ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,15.92,18.6,KCHI,h ɪ ɛ z ʌ m k w ɛ d w ɪ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,20.16,20.94,KCHI,j æ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,28.28,29.66,KCHI,f w ɛ d r ɪ k
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,41.24,42.18,KCHI,j ɛ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,44.16,45.24,KCHI,ə n a ɪ p ʊ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,45.34,46.6,KCHI,ɡ u ɑ n
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,48.22,48.72,KCHI,ɛ p ʊ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,54.5,55.72,KCHI,ʌ h o
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,56.24,57.5,KCHI,d ʊ d i
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,62.72,63.68,KCHI,d ʊ d i
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,70.9,71.42,KCHI,ɛ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,71.64,72.94,KCHI,b o ʃ u
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,75.46,76.44,KCHI,æ m o
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,79.72,81.2,KCHI,ɛ t u æ m o z
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,84.12,84.46,KCHI,b ɪ ŋ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,85.22,88.02,KCHI,ɐ̃ n ə w e ɡ o w i ɡ o
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,89.1,89.76,KCHI,d i
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,90.52,91.22,KCHI,n o
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,93.42,94.32,KCHI,d ɛ d ɛ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,97.36,98.3,KCHI,d ɛ d ɪ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,102.5,103.78,KCHI,d ɑ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,108.0,109.48,KCHI,n o a ɪ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,120.92,122.1,KCHI,h a z
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,122.8,124.16,KCHI,n o
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,126.04,129.96,KCHI,h a n o n n ɑ ɡ ɪ n
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,137.96,140.38,KCHI,ɛ n m a ɪ h ɐ̃ n d ə s k ʌ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,152.96,154.6,KCHI,t m a ɪ b a w ɪ t
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,157.36,159.52,KCHI,a ɪ k æ n f a ɪ d ɪ t
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,167.82,170.6,KCHI,ɛ n a ɪ k æ n f a ɪ n d ʒ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,174.44,176.48,KCHI,ə d i k w æ n k w æ n
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,178.02,179.8,KCHI,ə d i k w æ n k r æ n
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,181.48,182.5,KCHI,j æ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,186.66,188.92,KCHI,a ɪ d o ɛ n b u t s ɑ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,208.04,208.96,KCHI,æ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,212.28,212.76,KCHI,i
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,214.26,214.92,KCHI,d w
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,215.64,216.74,KCHI,j æ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,218.46,221.12,KCHI,ʌ m ʌ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,221.4,222.66,KCHI,ʌ m m m
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,223.04,224.4,KCHI,d ɛ d ɛ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,227.46,228.94,KCHI,ɑ n ə f l o
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,230.84,232.3,KCHI,ɪ k ə z ɑ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,235.28,237.24,KCHI,m ɑ m i a m ə ə z
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,239.7,240.08,KCHI,m ɑ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,240.2,240.84,KCHI,
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,242.78,243.54,KCHI,
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,244.2,245.26,KCHI,a ɪ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,246.08,246.76,KCHI,f e
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,260.7,263.08,KCHI,n o
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,263.26,266.52,KCHI,n o d m ɑ m i
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,266.66,268.24,KCHI,ʌ m ʌ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,268.92,269.4,KCHI,w a ɪ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,269.52,270.08,KCHI,k ɑ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,271.46,271.6,KCHI,
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,287.06,287.66,KCHI,ɛ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,287.88,288.96,KCHI,t u
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,289.42,291.06,KCHI,a w ɑ d ɪ s ɑ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,293.34,294.28,KCHI,d ɪ s ɑ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,294.48,294.98,KCHI,f
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,295.52,296.16,KCHI,
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,308.08,308.48,KCHI,ɑ m ə
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,315.44,317.62,KCHI,o m i ʌ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,332.32,334.54,KCHI,s w a ɪ p ə n o s w a ɪ p ɪ ŋ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,343.68,343.86,KCHI,
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,351.44,353.66,KCHI,s w a ɪ p ə
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,354.86,358.08,KCHI,ɪ w ɪ v s w e ɪ p ə s n o z ɑ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,366.5,368.24,KCHI,w ʊ ɪ s w a ɪ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,368.98,370.14,KCHI,d ə ʌ v ə
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,374.56,376.76,KCHI,u h i z b ɪ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,378.1,380.96,KCHI,n h i s m ɑ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,387.5,391.9,KCHI,a w ɑ t ʌ ʌ ə f w ɑ ɡ i ʊ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,395.58,397.46,KCHI,d e j e ɪ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,402.26,403.6,KCHI,p ə f a ɪ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,406.58,410.4,KCHI,w i
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,416.16,417.9,KCHI,a w ɑ n m o ɔ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,419.26,420.7,KCHI,m ə s t ɪ k ə z
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,422.36,423.78,KCHI,d u ɛ n b u
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,425.24,426.96,KCHI,p w i z
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,429.5,430.34,KCHI,s m ʌ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,434.94,435.74,KCHI,n o
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,443.68,448.3,KCHI,u s w a ɪ p ə
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,453.88,455.02,KCHI,m ɔ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,456.16,457.4,KCHI,ə b o t ə
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,465.66,467.1,KCHI,
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,471.42,472.2,KCHI,
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,492.1,492.7,KCHI,ɡ e
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,508.08,509.2,KCHI,m
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,513.42,515.46,KCHI,n ɪ z ə f a ɪ j ə w ɪ n
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,516.06,521.22,KCHI,ɛ n ð æ t s w ʌ n t ɪ s ð ə f u t s ɛ n ð æ s w ʌ n z ə h ɔ ɪ t
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,521.58,524.74,KCHI,ɛ n ð æ t s w ʌ n z ʌ m h ʊ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,536.78,537.1,KCHI,
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,555.26,556.68,KCHI,h e ɪ w ʊ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,581.68,582.74,KCHI,d ɪ s
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,584.64,585.36,KCHI,n ʌ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,586.84,587.82,KCHI,n o
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,592.68,593.02,KCHI,
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,603.7,605.04,KCHI,ɛ b w e ɪ k
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,611.48,612.8,KCHI,k o
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,624.86,624.96,KCHI,
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,626.26,627.0,KCHI,n o
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,629.92,630.4,KCHI,n o
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,631.72,632.82,KCHI,n o
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,634.1,635.06,KCHI,n o
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,640.04,640.78,KCHI,ʌ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,643.0,644.0,KCHI,m
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,646.34,647.02,KCHI,m
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,648.5,648.74,KCHI,d ʌ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,649.4,650.46,KCHI,w a ɪ z s f e ɪ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,656.14,656.7,KCHI,o
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,660.96,662.22,KCHI,æ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,664.22,666.38,KCHI,
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,668.5,669.22,KCHI,
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,671.98,673.54,KCHI,m
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,674.58,676.88,KCHI,d æ h ʌ p w a ɪ z f e ɪ s
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,678.46,678.96,KCHI,o
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,679.9,681.66,KCHI,d ə h æ p i f e ɪ s
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,682.52,684.32,KCHI,d ə h æ v i f e
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,686.08,689.44,KCHI,ɛ m b w ɐ̃ ɡ i
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,692.52,693.98,KCHI,ʌ o k e ɪ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,696.44,697.0,KCHI,
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,700.22,701.9,KCHI,j ə j æ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,704.5,704.64,KCHI,
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,710.2,711.04,KCHI,j æ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,711.92,712.96,KCHI,j æ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,714.44,715.64,KCHI,o k e
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,719.18,720.3,KCHI,d o w ə
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,720.92,722.08,KCHI,d o w ə z
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,723.66,724.36,KCHI,d o w ə
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,728.76,730.76,KCHI,d o w ə s b w ɔ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,736.3,736.46,KCHI,
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,740.28,741.76,KCHI,s t ɪ k ʌ z
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,745.78,748.24,KCHI,ɪ s ɪ s f ʌ i z f ʊ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,749.78,750.44,KCHI,i
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,772.8,774.24,KCHI,t i ɡ o
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,784.06,784.92,KCHI,t ɛ d ə
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,785.3,787.68,KCHI,ʌ ʌ m s t ɛ d ə
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,788.04,789.86,KCHI,ʌ m t i k o
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,795.66,796.78,KCHI,w ʊ k
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,800.58,801.52,KCHI,w ʊ k
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,803.06,804.18,KCHI,w ʊ k
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,805.4,806.06,KCHI,w ʊ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,807.4,811.3,KCHI,ɪ ə f w a ɪ n t ə d ə ʌ m d ə h ɔ n
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,825.2,827.24,KCHI,ɪ s b e ɪ b i ɛ l ə f ɪ n t
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,838.7,840.68,KCHI,ɛ e ɪ b i s i z
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,856.56,857.64,KCHI,n o p
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,867.18,868.74,KCHI,b ʌ w i d
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,869.86,870.88,KCHI,d ɪ s w ʌ n
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,873.54,874.84,KCHI,d ʌ p i
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,885.12,886.24,KCHI,a ɪ ʌ m ɑ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,895.06,895.5,KCHI,ʌ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,903.96,904.54,KCHI,o k e
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,906.72,908.18,KCHI,p ɑ f i w a ɪ z
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,911.64,912.74,KCHI,m u k i
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,914.58,915.06,KCHI,p i
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,928.84,929.88,KCHI,ɑ v ɛ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,948.1,949.64,KCHI,k æ w ʌ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,966.86,968.52,KCHI,ɛ p ʌ p i w a ɪ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,969.78,970.98,KCHI,ɪ n l ɛ t ɛ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,982.32,983.66,KCHI,ɐ̃ w i ɛ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,985.1,986.74,KCHI,t e ɪ b o b ə ɛ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,990.08,991.02,KCHI,f ɛ z
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,998.98,1000.12,KCHI,d ɛ d ʌ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,1000.96,1002.34,KCHI,p ʌ p i w a ɪ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,1003.24,1004.56,KCHI,p ʌ p i w a ɪ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,1006.24,1007.0,KCHI,d ɛ d ɛ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,1008.18,1009.04,KCHI,d ɛ d ə
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,1017.34,1018.28,KCHI,b ɛ d ɛ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,1020.34,1021.46,KCHI,d ɛ d ɛ
lily_020108__a988d1fff24b14e06debe92e7bd181fd.wav,1025.84,1026.66,KCHI,b ɛ t ə
