filename,onset,offset,speaker,phonemes
lily_020115__ee61e4135231c001514e3675ed126d42.wav,1.84,2.34,KCHI,w ʊ t
lily_020115__ee61e4135231c001514e3675ed126d42.wav,2.6,3.24,KCHI,ɛ v
lily_020115__ee61e4135231c001514e3675ed126d42.wav,3.48,3.84,KCHI,e ɪ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,3.98,6.78,KCHI,ɡ w ɑ n ɪ ŋ w i
lily_020115__ee61e4135231c001514e3675ed126d42.wav,7.26,7.96,KCHI,w ʊ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,10.12,11.0,KCHI,j æ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,13.48,17.52,KCHI,w o
lily_020115__ee61e4135231c001514e3675ed126d42.wav,21.48,22.42,KCHI,d ɛ d ɛ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,25.0,28.3,KCHI,ɛ z ə m m ɑ t ɛ i b ə n ə b w ɐ̃ ŋ k i
lily_020115__ee61e4135231c001514e3675ed126d42.wav,31.84,33.96,KCHI,ɪ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,38.0,39.8,KCHI,ɛ ʌ k ɪ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,41.0,41.44,KCHI,
lily_020115__ee61e4135231c001514e3675ed126d42.wav,43.78,43.9,KCHI,
lily_020115__ee61e4135231c001514e3675ed126d42.wav,46.36,51.24,KCHI,w ʊ a ɪ w ʌ ɾ i s t ɛ s i a ɪ w ʌ n i ŋ w i
lily_020115__ee61e4135231c001514e3675ed126d42.wav,52.94,53.66,KCHI,w o
lily_020115__ee61e4135231c001514e3675ed126d42.wav,54.84,57.08,KCHI,w ʌ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,58.98,59.7,KCHI,o k
lily_020115__ee61e4135231c001514e3675ed126d42.wav,61.54,61.86,KCHI,ʌ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,61.96,63.04,KCHI,w ɪ s b ʊ k
lily_020115__ee61e4135231c001514e3675ed126d42.wav,63.68,64.62,KCHI,j u w a ɪ k
lily_020115__ee61e4135231c001514e3675ed126d42.wav,65.08,66.86,KCHI,b ɪ s m ɑ m i
lily_020115__ee61e4135231c001514e3675ed126d42.wav,69.44,70.56,KCHI,d æ s w ʌ n
lily_020115__ee61e4135231c001514e3675ed126d42.wav,85.8,86.06,KCHI,n u
lily_020115__ee61e4135231c001514e3675ed126d42.wav,87.3,87.82,KCHI,
lily_020115__ee61e4135231c001514e3675ed126d42.wav,89.74,90.82,KCHI,n u h æ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,92.02,92.78,KCHI,ɪ n n ə
lily_020115__ee61e4135231c001514e3675ed126d42.wav,92.9,93.98,KCHI,t m a h æ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,95.06,96.38,KCHI,ɪ n ə f l æ t h æ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,97.2,98.34,KCHI,ɪ n ə t a l h æ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,111.46,112.0,KCHI,w a ɪ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,117.34,118.16,KCHI,p a ɪ ɡ i
lily_020115__ee61e4135231c001514e3675ed126d42.wav,124.18,125.0,KCHI,s ɪ l i
lily_020115__ee61e4135231c001514e3675ed126d42.wav,126.14,127.14,KCHI,l ɛ d ə
lily_020115__ee61e4135231c001514e3675ed126d42.wav,134.64,135.32,KCHI,w ʌ m
lily_020115__ee61e4135231c001514e3675ed126d42.wav,139.64,140.38,KCHI,ɡ ʌ l i
lily_020115__ee61e4135231c001514e3675ed126d42.wav,146.74,148.0,KCHI,ɡ w æ t ʃ i
lily_020115__ee61e4135231c001514e3675ed126d42.wav,153.34,154.32,KCHI,w e ɪ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,167.16,168.04,KCHI,ɛ f ɪ ŋ k s
lily_020115__ee61e4135231c001514e3675ed126d42.wav,168.54,168.7,KCHI,
lily_020115__ee61e4135231c001514e3675ed126d42.wav,171.14,172.88,KCHI,d h æ h o
lily_020115__ee61e4135231c001514e3675ed126d42.wav,175.76,176.98,KCHI,j ɛ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,180.08,183.08,KCHI,d æ s w ʌ n ɪ h æ z ə p ʌ m p ɑ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,184.9,187.28,KCHI,d ɪ s w ʌ n e ɪ ɡ w e ɪ t
lily_020115__ee61e4135231c001514e3675ed126d42.wav,188.86,189.76,KCHI,j æ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,191.58,197.62,KCHI,d æ w ʌ n s ɡ w e ɪ t a ɪ s p ɛ s t ə ɔ w i
lily_020115__ee61e4135231c001514e3675ed126d42.wav,201.92,206.0,KCHI,a ɪ w ɑ n t ə w i d ɪ s ʌ n ʌ v ə v ʊ k
lily_020115__ee61e4135231c001514e3675ed126d42.wav,206.96,207.46,KCHI,k
lily_020115__ee61e4135231c001514e3675ed126d42.wav,208.52,209.68,KCHI,d ɪ s b ʊ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,212.02,212.58,KCHI,d ɪ s
lily_020115__ee61e4135231c001514e3675ed126d42.wav,213.06,213.28,KCHI,ʊ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,217.26,218.52,KCHI,ʊ d ɪ s
lily_020115__ee61e4135231c001514e3675ed126d42.wav,241.66,242.78,KCHI,j æ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,244.68,245.7,KCHI,j æ
lily_020115__ee61e4135231c001514e3675ed126d42.wav,259.14,259.98,KCHI,d ɛ d ɛ
