filename,onset,offset,speaker,phonemes
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,0.22,1.16,KCHI,j
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,1.58,7.5,KCHI,ɛ n a ɪ h æ v ə p ɛ t s ə n a ɪ m i d m ʌ k ʌ p s ɛ d ə m ɔ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,12.16,14.28,KCHI,w ɛ s ə m t i p ɑ t
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,24.3,26.56,KCHI,a ɪ w ɑ n ə n u t i p ɑ t
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,33.64,35.72,KCHI,w ʌ z ə n ʌ v ə k ʌ p
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,55.86,57.6,KCHI,k ɑ k ɑ v i
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,65.86,66.88,KCHI,ɡ ɑ m ɪ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,68.5,69.8,KCHI,w ʌ m a ɪ p ʌ s i
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,71.64,74.84,KCHI,d u ɡ j u d u d u d u ɡ j u
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,75.44,75.62,KCHI,t u
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,77.72,78.86,KCHI,a ɪ k
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,82.36,84.4,KCHI,w ʊ z m a ɪ ʌ m m ɑ m ə
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,85.54,88.66,KCHI,m a ɪ s p ʌ n d ə b ɑ t o w ɪ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,94.18,95.14,KCHI,a
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,107.46,109.38,KCHI,w ʌ z p ʌ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,109.62,110.58,KCHI,ʌ m p ʊ s i
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,116.3,117.64,KCHI,d u d u
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,118.12,119.72,KCHI,m a ɪ p ʌ z o
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,120.06,122.42,KCHI,m a ɪ f w a ʊ w ə p ʌ z o
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,123.5,124.1,KCHI,ɛ h æ z
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,124.28,127.9,KCHI,j ɛ l o w ɛ d p ʌ b o
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,129.4,129.9,KCHI,h m
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,130.54,131.98,KCHI,h a ʊ b a ʊ d æ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,133.68,134.78,KCHI,h a ʊ b a ʊ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,137.52,140.08,KCHI,ɛ n d f ə j u ɛ n m i
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,144.8,146.2,KCHI,ɪ z ə d ʒ u w ɛ s
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,147.26,150.58,KCHI,w a ʊ w ə d u w ɛ s f ə p ɑ l i
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,152.02,154.14,KCHI,d ə w ɛ p a ɪ w ɪ t
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,155.22,156.98,KCHI,h i z ə b ɪ j ə d
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,158.48,159.2,KCHI,j ɛ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,159.34,160.64,KCHI,h i d ʌ s
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,161.46,162.2,KCHI,h i d ʌ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,164.14,166.12,KCHI,m a ɪ d r æ ɪ w ɑ s
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,166.4,166.76,KCHI,
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,169.52,172.08,KCHI,w ʌ z ə m m a ɪ p ʊ s i
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,177.78,181.14,KCHI,n ʌ m b ə w ʌ n d n ʌ m b ə t u
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,185.54,187.84,KCHI,d ʒ e ɪ k d æ s s n e ɪ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,192.72,195.64,KCHI,w ʌ s t ʌ m p ʌ s i
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,199.8,202.1,KCHI,o m a ɪ m æ ɡ ɪ t s
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,206.96,210.92,KCHI,ɛ n a ɪ d o n s i p ʊ s i h w a ʊ n i
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,211.32,211.78,KCHI,h i
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,242.82,245.26,KCHI,b o ɡ ʊ ʊ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,246.46,247.2,KCHI,m
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,247.38,247.56,KCHI,
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,249.12,249.96,KCHI,a
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,251.42,252.5,KCHI,j u ɡ ɑ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,253.14,255.74,KCHI,w ʌ j u d u ɪ b æ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,256.42,257.64,KCHI,w ʌ j u t u ɪ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,258.62,260.1,KCHI,j u w ɛ ɡ o
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,261.76,261.86,KCHI,
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,262.06,266.16,KCHI,a ɪ w a ɪ d ə w ɪ ɡ o z h j u w a ɪ t ə w ɛ k ə z
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,266.66,268.08,KCHI,ʌ ɪ e ə
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,274.62,276.3,KCHI,ɪ t j u h ʌ p
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,279.9,282.38,KCHI,n d ɛ ɑ m a ɪ ʌ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,282.58,283.92,KCHI,s i t s ɛ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,294.52,297.28,KCHI,p ɔ ŋ w ɛ s m a ɪ m e ŋ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,297.66,298.24,KCHI,m e
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,298.5,300.66,KCHI,j u f a ʊ n t ɑ m ɪ s
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,302.16,303.94,KCHI,ɐ̃ n w ʌ s p ʊ s i
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,306.66,308.62,KCHI,w ʌ t
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,309.26,311.46,KCHI,w ʌ s d ʌ ɡ ə w i w ʌ n z
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,311.86,314.42,KCHI,m w ʌ s d ə ɡ w i n
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,314.62,315.56,KCHI,w ʌ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,316.66,317.82,KCHI,j æ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,320.58,322.82,KCHI,s i z d ə ɡ w i n w ʌ n
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,323.2,324.12,KCHI,d ə ɡ w i n
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,324.7,326.08,KCHI,t r e ɪ n ɛ n
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,326.36,330.3,KCHI,t ɑ m ɪ s ɪ z d ə b w u t r e ɪ n
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,334.98,335.94,KCHI,w ɛ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,336.58,337.86,KCHI,n ʌ k ʌ l ə z
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,338.66,339.36,KCHI,ʌ m
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,340.38,341.28,KCHI,h ɛ n w i
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,342.92,344.18,KCHI,k w i n
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,347.34,347.76,KCHI,h m
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,357.16,361.52,KCHI,h i z f a w ɪ ŋ ɛ n f ɛ n e ə
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,363.16,366.56,KCHI,h i z f ɑ w ɪ ŋ ɪ n f ɪ n e ɪ ə
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,369.92,370.74,KCHI,a ɪ n o
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,372.16,372.88,KCHI,j ɛ
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,380.84,381.68,KCHI,i u
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,382.08,383.1,KCHI,j ɔ w ɪ ŋ k s
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,384.68,385.8,KCHI,j u ɔ ɪ ŋ k
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,386.4,388.82,KCHI,ɔ r ə s u
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,389.34,394.76,KCHI,ɪ n a ɪ d ʒ ʌ s ð e ɪ d ə w o p p ʊ m i
lily_020227__5b3e2a2bdeaade2bec3a0532ac870c80.wav,395.3,396.22,KCHI,a ʊ t
