filename,onset,offset,speaker,phonemes
lily_020612__13e9db2148ff6bc08b52f5a1a1c234ff.wav,0.0,0.1,KCHI,
lily_020612__13e9db2148ff6bc08b52f5a1a1c234ff.wav,1.42,5.16,KCHI,o h e ɪ a ɪ k e ɪ k ɪ w ɛ ɾ i
lily_020612__13e9db2148ff6bc08b52f5a1a1c234ff.wav,7.34,7.96,KCHI,b ɑ ŋ
lily_020612__13e9db2148ff6bc08b52f5a1a1c234ff.wav,10.5,11.22,KCHI,b ɑ ŋ k
lily_020612__13e9db2148ff6bc08b52f5a1a1c234ff.wav,11.94,14.68,KCHI,ɡ ə w ʌ s d e ɪ ɪ z f ə j u
lily_020612__13e9db2148ff6bc08b52f5a1a1c234ff.wav,16.34,21.08,KCHI,j æ j ɛ n a ɪ w ʊ l ə b ɪ d ɛ d ɪ k
lily_020612__13e9db2148ff6bc08b52f5a1a1c234ff.wav,27.28,28.2,KCHI,o
lily_020612__13e9db2148ff6bc08b52f5a1a1c234ff.wav,29.2,29.62,KCHI,
lily_020612__13e9db2148ff6bc08b52f5a1a1c234ff.wav,31.72,31.84,KCHI,
lily_020612__13e9db2148ff6bc08b52f5a1a1c234ff.wav,32.18,32.52,KCHI,
lily_020612__13e9db2148ff6bc08b52f5a1a1c234ff.wav,35.82,36.2,KCHI,
lily_020612__13e9db2148ff6bc08b52f5a1a1c234ff.wav,36.32,37.02,KCHI,w ɑ
lily_020612__13e9db2148ff6bc08b52f5a1a1c234ff.wav,37.36,37.66,KCHI,
lily_020612__13e9db2148ff6bc08b52f5a1a1c234ff.wav,38.42,39.26,KCHI,d w ʌ k
lily_020612__13e9db2148ff6bc08b52f5a1a1c234ff.wav,39.8,40.52,KCHI,h ʌ
lily_020612__13e9db2148ff6bc08b52f5a1a1c234ff.wav,40.66,41.14,KCHI,
lily_020612__13e9db2148ff6bc08b52f5a1a1c234ff.wav,45.24,47.04,KCHI,s k w ɑ m z ɪ
