filename,onset,offset,speaker,phonemes
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,0.0,2.02,KCHI,n a ɪ u m a ɪ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,2.44,7.16,KCHI,ɛ ɛ d ɪ i ɪ s ə a ɪ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,7.96,12.44,KCHI,l a ɪ k ɛ n a ɪ ɪ n ə s k e
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,13.42,21.2,KCHI,t i ŋ ɡ ə t ŋ ɡ ɛ d m i ð ə s t a ɪ h æ v a ɪ w ʌ n d ʊ w ɛ j u a ɪ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,26.96,29.72,KCHI,n a w i h æ v t u d u ɪ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,29.98,31.1,KCHI,k u ɪ p s
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,32.98,33.78,KCHI,j ə
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,37.46,37.96,KCHI,m h m
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,39.82,39.94,KCHI,b æ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,41.88,42.66,KCHI,w ə ɡ ə n i
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,50.48,52.52,KCHI,w ʌ n t ʃ w ɪ t ʃ b ɑ k s ɪ z l æ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,55.2,55.7,KCHI,n o
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,59.04,59.7,KCHI,j u
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,60.58,61.86,KCHI,w ɛ r z m æ p
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,66.06,66.74,KCHI,a ɪ l ɛ f
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,68.34,68.94,KCHI,j æ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,70.12,73.22,KCHI,a ɪ w ɑ n ə p ʊ d æ t s t o n ɪ n ɛ r ə ɡ ɛ n
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,76.9,78.4,KCHI,k n j u k l o z ɪ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,79.6,81.54,KCHI,s o w a ɪ k ɪ n ə h ɛ ə v d ɪ t
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,83.58,84.32,KCHI,m ɑ m i
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,86.36,86.6,KCHI,
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,89.0,89.94,KCHI,m ɑ m i
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,90.6,92.24,KCHI,a ɪ v ɛ s ʌ m p ɪ ŋ t u w i t
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,97.4,98.18,KCHI,t ʃ i z
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,101.56,102.36,KCHI,ʌ m
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,102.88,104.06,KCHI,h u v a ɾ i t ʃ i
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,108.46,109.2,KCHI,n i ŋ k s
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,110.1,112.02,KCHI,a ɪ ɑ s o b r ɪ ŋ t u w i
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,115.42,116.34,KCHI,ɪ z
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,117.16,118.2,KCHI,ə s t o
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,120.6,124.38,KCHI,ɪ t ʒ ɪ s f ə ʃ o ɪ ŋ ʃ o ŋ t ɛ l
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,127.36,127.68,KCHI,w a ɪ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,146.38,147.16,KCHI,m h m
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,149.36,150.44,KCHI,a s ɪ d a
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,152.24,153.4,KCHI,b æ p æ k
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,155.74,158.4,KCHI,b e ɪ d i m e ɪ t o ɡ a
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,159.2,160.4,KCHI,ʌ ɛ v ə d ɛ n
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,166.44,167.16,KCHI,
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,172.88,173.68,KCHI,m ɑ m i
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,174.74,191.48,KCHI,d ɛ s ɪ z d i v æ s t ʌ v ð ə s ɑ ŋ t w ɪ ŋ k t w ɪ ŋ k ə l ɪ ɾ ə s t a j u h æ v d ʌ n ɪ n j u h æ v n ə n d ɪ s ɪ z a p l e ɪ s ɪ j u h æ v d ʌ n d ʌ a ɪ n ɪ d ɪ n j u h æ v ɪ d ʌ n
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,191.68,209.72,KCHI,ð ɪ s ɪ z ð ə w e j u ɡ ɑ t ə ɡ o j u w ɑ ɡ o ɪ ŋ h a ʊ d i j u ɡ o h a ʊ d i j u ɛ v ə r ɡ o ɔ r p l e ɪ s ɪ n j ɔ n ɪ n ɛ n j u w ɪ n n n i n d
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,221.04,222.22,KCHI,θ æ ŋ k j u
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,225.28,226.16,KCHI,m æ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,227.34,227.5,KCHI,
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,228.92,229.88,KCHI,m æ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,230.46,231.8,KCHI,w ɛ d ɪ j u ɡ o
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,232.68,233.28,KCHI,m æ p
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,234.5,235.46,KCHI,m ɑ m i
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,236.04,238.22,KCHI,i a s d æ t s ʌ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,240.92,242.38,KCHI,
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,246.34,250.52,KCHI,n t ə k ɔ ɪ b ɪ t a ɪ n o p ɪ n ɪ d ʌ p
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,260.2,261.38,KCHI,j æ o p ɪ n ɪ d ə
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,263.88,264.1,KCHI,d o
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,267.18,268.48,KCHI,ð ɪ s t u m
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,270.28,273.46,KCHI,ɐ̃ n d w e ɪ ɐ̃ n d m a ɪ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,274.1,274.62,KCHI,b ɑ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,277.2,279.06,KCHI,ɐ̃ n d m a ɪ m
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,279.34,281.02,KCHI,ɛ n w e ɪ ʌ s
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,281.44,282.2,KCHI,ʌ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,287.84,288.52,KCHI,m a ɪ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,290.88,292.62,KCHI,æ n m a ɪ f w a w ə r
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,295.62,298.84,KCHI,æ n l ʊ k ə d ɪ d ʌ z ɪ o p ɪ n d ʌ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,302.74,304.12,KCHI,ɪ t o p ɪ n d ʌ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,306.9,307.78,KCHI,h ɪ ŋ k j u
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,308.72,313.28,KCHI,ð ə p ɛ ɾ o z ə ʃ a ɪ n ɪ ŋ ɡ l u ʃ a ɪ n ɪ ŋ w ɪ ɡ ə l a ɪ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,314.2,317.44,KCHI,ɛ n ð ɛ n w ʌ n p ɛ ɾ ə k l o z t
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,319.64,321.98,KCHI,æ n d ɛ n ə n ʌ v ə r p ɛ l k l o z
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,322.38,326.76,KCHI,ə n ʌ ð ə r p ɛ ɾ ə k l o z ɪ k l o z d ɪ z
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,330.04,333.48,KCHI,ɛ n b ə d ɛ n ɪ b i k e ə s t o r
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,334.32,337.92,KCHI,ɪ ɪ w ʌ z ə f l a ʊ ə r t o r
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,338.88,347.52,KCHI,ɛ v r i b ʌ ɾ i k ə ɡ o ʌ d i æ s k ə l e ɪ ɾ ʊ r d a ʊ i ə s k ə l e ɪ d ə r ɪ ɪ n t ə l i ʌ k s k ə l i ʊ r h a ɪ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,348.34,350.24,KCHI,b ʌ d ɛ n e k l o z z ɪ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,350.7,354.02,KCHI,ɪ w ʌ z k l o z d ʌ t a ɪ m i w ɪ n ɪ w ʌ z
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,354.22,355.94,KCHI,s t a n t ə r e i n
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,356.36,356.78,KCHI,ɪ w ʌ
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,357.1,360.84,KCHI,ɪ h w ʌ z ɪ w ʌ z d ʒ ʌ s t w ʌ n p ɛ ɾ ə
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,361.1,363.08,KCHI,p ʌ l ə l ɪ ŋ p æ t
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,363.46,365.86,KCHI,d ɑ k d ɪ ð ə w e ɪ w ʌ z
lily_020700__83ac57a1c11d7279b3b820e5c343eb92.wav,366.2,367.72,KCHI,w ʌ n p ɛ ɾ ə
