filename,onset,offset,speaker,phonemes
sub-A2M5H0V6E3_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__5c07507cde302fcb31064c2a75dffdfb.wav,7.96,10.88,KCHI,
sub-A2M5H0V6E3_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__5c07507cde302fcb31064c2a75dffdfb.wav,11.94,17.32,KCHI,b a b a
sub-A2M5H0V6E3_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__5c07507cde302fcb31064c2a75dffdfb.wav,20.9,21.54,KCHI,
sub-A2M5H0V6E3_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__5c07507cde302fcb31064c2a75dffdfb.wav,23.88,31.84,KCHI,j æ d u d æ d æ
sub-A2M5H0V6E3_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__5c07507cde302fcb31064c2a75dffdfb.wav,33.12,39.8,KCHI,ʌ n
sub-A2M5H0V6E3_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__5c07507cde302fcb31064c2a75dffdfb.wav,51.74,55.08,KCHI,
sub-A2M5H0V6E3_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__5c07507cde302fcb31064c2a75dffdfb.wav,57.36,58.26,KCHI,j a
sub-A2M5H0V6E3_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__5c07507cde302fcb31064c2a75dffdfb.wav,87.56,94.4,KCHI,d a ʊ d a ʊ
sub-A2M5H0V6E3_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__5c07507cde302fcb31064c2a75dffdfb.wav,99.5,100.08,KCHI,
sub-A2M5H0V6E3_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__5c07507cde302fcb31064c2a75dffdfb.wav,107.36,112.52,KCHI,
