filename,onset,offset,speaker,phonemes
sub-A2P7X9N8L7_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__0cfb345f93e89930b71e30a032baece8.wav,0.98,2.44,KCHI,m m ɔ
sub-A2P7X9N8L7_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__0cfb345f93e89930b71e30a032baece8.wav,4.16,6.64,KCHI,i n æ
sub-A2P7X9N8L7_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__0cfb345f93e89930b71e30a032baece8.wav,9.12,11.08,KCHI,æ
sub-A2P7X9N8L7_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__0cfb345f93e89930b71e30a032baece8.wav,12.36,13.32,KCHI,æ
sub-A2P7X9N8L7_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__0cfb345f93e89930b71e30a032baece8.wav,14.82,16.02,KCHI,a n æ
sub-A2P7X9N8L7_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__0cfb345f93e89930b71e30a032baece8.wav,17.26,18.32,KCHI,ɛ s
sub-A2P7X9N8L7_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__0cfb345f93e89930b71e30a032baece8.wav,22.48,23.36,KCHI,m
sub-A2P7X9N8L7_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__0cfb345f93e89930b71e30a032baece8.wav,26.38,27.84,KCHI,a ə
sub-A2P7X9N8L7_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__0cfb345f93e89930b71e30a032baece8.wav,30.28,31.06,KCHI,
sub-A2P7X9N8L7_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__0cfb345f93e89930b71e30a032baece8.wav,33.64,35.72,KCHI,m
sub-A2P7X9N8L7_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__0cfb345f93e89930b71e30a032baece8.wav,37.88,39.8,KCHI,a ʊ
sub-A2P7X9N8L7_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__0cfb345f93e89930b71e30a032baece8.wav,43.68,44.32,KCHI,m
sub-A2P7X9N8L7_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__0cfb345f93e89930b71e30a032baece8.wav,47.36,48.56,KCHI,m t ʃ
sub-A2P7X9N8L7_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__0cfb345f93e89930b71e30a032baece8.wav,51.16,52.5,KCHI,m
sub-A2P7X9N8L7_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__0cfb345f93e89930b71e30a032baece8.wav,53.68,54.46,KCHI,m m
sub-A2P7X9N8L7_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__0cfb345f93e89930b71e30a032baece8.wav,55.72,56.7,KCHI,
sub-A2P7X9N8L7_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__0cfb345f93e89930b71e30a032baece8.wav,58.02,59.0,KCHI,m m
sub-A2P7X9N8L7_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__0cfb345f93e89930b71e30a032baece8.wav,60.88,63.16,KCHI,æ n æ
sub-A2P7X9N8L7_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__0cfb345f93e89930b71e30a032baece8.wav,68.66,69.58,KCHI,n a ɪ
