filename,onset,offset,speaker,phonemes
sub-A3G3T7I1A5_ses-01_task-motorplay_run-02_audio__fd604aa58c46f833870119c062b03d8b.wav,1.32,2.0,KCHI,
sub-A3G3T7I1A5_ses-01_task-motorplay_run-02_audio__fd604aa58c46f833870119c062b03d8b.wav,2.62,3.0,KCHI,
sub-A3G3T7I1A5_ses-01_task-motorplay_run-02_audio__fd604aa58c46f833870119c062b03d8b.wav,5.3,5.74,KCHI,
sub-A3G3T7I1A5_ses-01_task-motorplay_run-02_audio__fd604aa58c46f833870119c062b03d8b.wav,6.04,6.74,KCHI,
sub-A3G3T7I1A5_ses-01_task-motorplay_run-02_audio__fd604aa58c46f833870119c062b03d8b.wav,7.76,8.5,KCHI,
sub-A3G3T7I1A5_ses-01_task-motorplay_run-02_audio__fd604aa58c46f833870119c062b03d8b.wav,8.96,9.56,KCHI,
sub-A3G3T7I1A5_ses-01_task-motorplay_run-02_audio__fd604aa58c46f833870119c062b03d8b.wav,14.06,15.0,KCHI,m
sub-A3G3T7I1A5_ses-01_task-motorplay_run-02_audio__fd604aa58c46f833870119c062b03d8b.wav,24.6,25.5,KCHI,æ
sub-A3G3T7I1A5_ses-01_task-motorplay_run-02_audio__fd604aa58c46f833870119c062b03d8b.wav,35.24,35.34,KCHI,a
sub-A3G3T7I1A5_ses-01_task-motorplay_run-02_audio__fd604aa58c46f833870119c062b03d8b.wav,43.32,43.78,KCHI,m
sub-A3G3T7I1A5_ses-01_task-motorplay_run-02_audio__fd604aa58c46f833870119c062b03d8b.wav,51.02,51.62,KCHI,ɪ h ɪ
sub-A3G3T7I1A5_ses-01_task-motorplay_run-02_audio__fd604aa58c46f833870119c062b03d8b.wav,60.9,61.26,KCHI,h
sub-A3G3T7I1A5_ses-01_task-motorplay_run-02_audio__fd604aa58c46f833870119c062b03d8b.wav,62.24,62.34,KCHI,m
sub-A3G3T7I1A5_ses-01_task-motorplay_run-02_audio__fd604aa58c46f833870119c062b03d8b.wav,69.36,70.22,KCHI,æ
sub-A3G3T7I1A5_ses-01_task-motorplay_run-02_audio__fd604aa58c46f833870119c062b03d8b.wav,73.48,74.32,KCHI,m
sub-A3G3T7I1A5_ses-01_task-motorplay_run-02_audio__fd604aa58c46f833870119c062b03d8b.wav,84.88,85.28,KCHI,ʌ
sub-A3G3T7I1A5_ses-01_task-motorplay_run-02_audio__fd604aa58c46f833870119c062b03d8b.wav,87.1,87.56,KCHI,
