filename,onset,offset,speaker,phonemes
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,3.98,10.3,KCHI,
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,10.5,20.6,KCHI,a
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,22.4,29.68,KCHI,a u u
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,34.94,35.82,KCHI,ɛ m
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,149.66,149.78,KCHI,
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,151.12,151.7,KCHI,
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,151.98,153.46,KCHI,m
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,156.38,157.2,KCHI,m
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,157.72,158.3,KCHI,
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,159.2,159.94,KCHI,
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,160.98,161.14,KCHI,
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,161.26,161.42,KCHI,
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,162.74,164.42,KCHI,ʌ ʌ m
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,247.02,247.8,KCHI,
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,247.96,248.54,KCHI,
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,253.74,254.0,KCHI,b ʌ
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,255.1,255.36,KCHI,b ʊ
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,264.56,264.92,KCHI,ʌ m ʌ
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,265.76,266.02,KCHI,ʌ
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,297.08,298.56,KCHI,i
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,298.68,299.32,KCHI,i
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,304.28,304.78,KCHI,ɛ
sub-A4E8K1L5Y2_ses-01_task-other_run-03_audio__81596246cc3432c6510e764382a991ab.wav,339.58,340.26,KCHI,j ɛ s
