filename,onset,offset,speaker,phonemes
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,2.4,3.32,KCHI,w ɛ
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,3.98,4.92,KCHI,ɹ e
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,5.04,7.8,KCHI,ɹ e j ə w i
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,8.14,13.22,KCHI,w j u h i d ʒ o w a ɛ
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,14.42,16.28,KCHI,j e b ə
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,16.68,17.78,KCHI,ɛ o
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,19.9,22.62,KCHI,ə v i b ə
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,23.1,23.88,KCHI,a
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,27.86,33.04,KCHI,ɛ o w e l a j o w i
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,33.22,34.74,KCHI,j u
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,34.9,38.28,KCHI,i d o f a j ɛ
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,39.58,41.4,KCHI,w e w ɔ
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,41.92,43.56,KCHI,ə w a w e w
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,43.78,44.38,KCHI,
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,45.18,47.58,KCHI,w a w e p ə
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,48.28,49.48,KCHI,ʌ ʌ
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,52.3,53.94,KCHI,m e p ə
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,54.16,55.72,KCHI,a w a w a w a
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,57.56,59.86,KCHI,o ə v e b ə
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,60.74,61.86,KCHI,ʌ o
sub-A4E8K1L5Y2_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__482274e4fd205fc25ca00a8049728c2f.wav,66.16,67.26,KCHI,u
