filename,onset,offset,speaker,phonemes
sub-A5S7G5T0S5_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__603818f17ae933841a358145a72f67b0.wav,31.16,32.22,KCHI,a d ɛ
sub-A5S7G5T0S5_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__603818f17ae933841a358145a72f67b0.wav,32.78,33.46,KCHI,d ɛ
sub-A5S7G5T0S5_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__603818f17ae933841a358145a72f67b0.wav,36.38,37.62,KCHI,d a d a
sub-A5S7G5T0S5_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__603818f17ae933841a358145a72f67b0.wav,44.72,46.4,KCHI,d a d a d a
sub-A5S7G5T0S5_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__603818f17ae933841a358145a72f67b0.wav,47.76,48.36,KCHI,d ɛ d ə d
sub-A5S7G5T0S5_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__603818f17ae933841a358145a72f67b0.wav,49.84,50.46,KCHI,ɪ
sub-A5S7G5T0S5_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__603818f17ae933841a358145a72f67b0.wav,51.74,52.38,KCHI,a
sub-A5S7G5T0S5_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__603818f17ae933841a358145a72f67b0.wav,58.58,59.36,KCHI,ʌ
sub-A5S7G5T0S5_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__603818f17ae933841a358145a72f67b0.wav,62.64,63.14,KCHI,ɪ
sub-A5S7G5T0S5_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__603818f17ae933841a358145a72f67b0.wav,70.06,70.6,KCHI,ʌ
sub-A5S7G5T0S5_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__603818f17ae933841a358145a72f67b0.wav,71.64,73.14,KCHI,ʌ
sub-A5S7G5T0S5_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__603818f17ae933841a358145a72f67b0.wav,77.6,78.64,KCHI,u
sub-A5S7G5T0S5_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__603818f17ae933841a358145a72f67b0.wav,79.6,79.72,KCHI,
sub-A5S7G5T0S5_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__603818f17ae933841a358145a72f67b0.wav,80.66,81.92,KCHI,d æ d ʌ
sub-A5S7G5T0S5_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__603818f17ae933841a358145a72f67b0.wav,87.02,87.44,KCHI,ʌ
