filename,onset,offset,speaker,phonemes
sub-A6Y4Y7X2G1_ses-01_task-generalsocialcommunicationinteraction_run-10_audio__cae9d0d91ec7223ffc41e1aefa8d79ad.wav,1.48,1.92,KCHI,
sub-A6Y4Y7X2G1_ses-01_task-generalsocialcommunicationinteraction_run-10_audio__cae9d0d91ec7223ffc41e1aefa8d79ad.wav,4.92,6.0,KCHI,
sub-A6Y4Y7X2G1_ses-01_task-generalsocialcommunicationinteraction_run-10_audio__cae9d0d91ec7223ffc41e1aefa8d79ad.wav,8.96,9.44,KCHI,
sub-A6Y4Y7X2G1_ses-01_task-generalsocialcommunicationinteraction_run-10_audio__cae9d0d91ec7223ffc41e1aefa8d79ad.wav,11.54,11.94,KCHI,m
sub-A6Y4Y7X2G1_ses-01_task-generalsocialcommunicationinteraction_run-10_audio__cae9d0d91ec7223ffc41e1aefa8d79ad.wav,12.68,14.0,KCHI,
sub-A6Y4Y7X2G1_ses-01_task-generalsocialcommunicationinteraction_run-10_audio__cae9d0d91ec7223ffc41e1aefa8d79ad.wav,14.42,15.06,KCHI,
sub-A6Y4Y7X2G1_ses-01_task-generalsocialcommunicationinteraction_run-10_audio__cae9d0d91ec7223ffc41e1aefa8d79ad.wav,18.82,19.9,KCHI,m
sub-A6Y4Y7X2G1_ses-01_task-generalsocialcommunicationinteraction_run-10_audio__cae9d0d91ec7223ffc41e1aefa8d79ad.wav,23.08,23.36,KCHI,
sub-A6Y4Y7X2G1_ses-01_task-generalsocialcommunicationinteraction_run-10_audio__cae9d0d91ec7223ffc41e1aefa8d79ad.wav,23.96,24.6,KCHI,
sub-A6Y4Y7X2G1_ses-01_task-generalsocialcommunicationinteraction_run-10_audio__cae9d0d91ec7223ffc41e1aefa8d79ad.wav,25.86,26.42,KCHI,m
sub-A6Y4Y7X2G1_ses-01_task-generalsocialcommunicationinteraction_run-10_audio__cae9d0d91ec7223ffc41e1aefa8d79ad.wav,32.26,33.2,KCHI,m
