filename,onset,offset,speaker,phonemes
sub-A6Z2B3J2A9_ses-01_task-dailyroutine_run-01_audio__8dd382c6f1465d93ec7308ca33fc27d2.wav,0.0,3.98,KCHI,h ʌ m h a a
sub-A6Z2B3J2A9_ses-01_task-dailyroutine_run-01_audio__8dd382c6f1465d93ec7308ca33fc27d2.wav,4.5,5.46,KCHI,æ
sub-A6Z2B3J2A9_ses-01_task-dailyroutine_run-01_audio__8dd382c6f1465d93ec7308ca33fc27d2.wav,5.66,6.0,KCHI,
sub-A6Z2B3J2A9_ses-01_task-dailyroutine_run-01_audio__8dd382c6f1465d93ec7308ca33fc27d2.wav,9.58,11.82,KCHI,ʌ h ʌ m
sub-A6Z2B3J2A9_ses-01_task-dailyroutine_run-01_audio__8dd382c6f1465d93ec7308ca33fc27d2.wav,13.58,16.08,KCHI,æ æ æ
sub-A6Z2B3J2A9_ses-01_task-dailyroutine_run-01_audio__8dd382c6f1465d93ec7308ca33fc27d2.wav,20.42,21.42,KCHI,ʌ
sub-A6Z2B3J2A9_ses-01_task-dailyroutine_run-01_audio__8dd382c6f1465d93ec7308ca33fc27d2.wav,25.26,25.72,KCHI,æ
sub-A6Z2B3J2A9_ses-01_task-dailyroutine_run-01_audio__8dd382c6f1465d93ec7308ca33fc27d2.wav,26.98,27.52,KCHI,ʌ
sub-A6Z2B3J2A9_ses-01_task-dailyroutine_run-01_audio__8dd382c6f1465d93ec7308ca33fc27d2.wav,40.4,41.78,KCHI,h e ɪ p w ɑ w i
sub-A6Z2B3J2A9_ses-01_task-dailyroutine_run-01_audio__8dd382c6f1465d93ec7308ca33fc27d2.wav,42.02,44.78,KCHI,n w s ə t ɛ t s ə s l e
sub-A6Z2B3J2A9_ses-01_task-dailyroutine_run-01_audio__8dd382c6f1465d93ec7308ca33fc27d2.wav,49.12,50.14,KCHI,w o
sub-A6Z2B3J2A9_ses-01_task-dailyroutine_run-01_audio__8dd382c6f1465d93ec7308ca33fc27d2.wav,50.56,51.74,KCHI,
sub-A6Z2B3J2A9_ses-01_task-dailyroutine_run-01_audio__8dd382c6f1465d93ec7308ca33fc27d2.wav,51.92,52.24,KCHI,
sub-A6Z2B3J2A9_ses-01_task-dailyroutine_run-01_audio__8dd382c6f1465d93ec7308ca33fc27d2.wav,56.2,58.76,KCHI,æ
sub-A6Z2B3J2A9_ses-01_task-dailyroutine_run-01_audio__8dd382c6f1465d93ec7308ca33fc27d2.wav,63.26,63.68,KCHI,s e
