filename,onset,offset,speaker,phonemes
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__d87982deed59eed1929d193449ba26b5.wav,9.6,10.4,KCHI,
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__d87982deed59eed1929d193449ba26b5.wav,11.08,12.02,KCHI,æ
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__d87982deed59eed1929d193449ba26b5.wav,13.94,15.26,KCHI,ɡ æ
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__d87982deed59eed1929d193449ba26b5.wav,18.14,18.84,KCHI,w ʊ
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__d87982deed59eed1929d193449ba26b5.wav,19.4,20.58,KCHI,w a w æ
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__d87982deed59eed1929d193449ba26b5.wav,27.86,29.0,KCHI,m a
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__d87982deed59eed1929d193449ba26b5.wav,31.22,31.64,KCHI,
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__d87982deed59eed1929d193449ba26b5.wav,33.56,35.46,KCHI,k a
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__d87982deed59eed1929d193449ba26b5.wav,37.56,38.04,KCHI,a
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__d87982deed59eed1929d193449ba26b5.wav,38.16,38.28,KCHI,
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__d87982deed59eed1929d193449ba26b5.wav,38.98,39.8,KCHI,
