filename,onset,offset,speaker,phonemes
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__d03990986c43a080d8b671a11a1c6d66.wav,7.26,7.84,KCHI,n ʌ
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__d03990986c43a080d8b671a11a1c6d66.wav,18.54,19.48,KCHI,ɛ
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__d03990986c43a080d8b671a11a1c6d66.wav,22.06,23.38,KCHI,
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__d03990986c43a080d8b671a11a1c6d66.wav,23.68,23.88,KCHI,
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__d03990986c43a080d8b671a11a1c6d66.wav,32.28,32.98,KCHI,
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__d03990986c43a080d8b671a11a1c6d66.wav,34.68,35.56,KCHI,
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__d03990986c43a080d8b671a11a1c6d66.wav,36.06,37.0,KCHI,
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__d03990986c43a080d8b671a11a1c6d66.wav,38.52,39.1,KCHI,
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__d03990986c43a080d8b671a11a1c6d66.wav,41.08,42.02,KCHI,æ
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__d03990986c43a080d8b671a11a1c6d66.wav,44.88,45.16,KCHI,æ
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__d03990986c43a080d8b671a11a1c6d66.wav,49.7,50.54,KCHI,ɛ
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__d03990986c43a080d8b671a11a1c6d66.wav,50.84,51.62,KCHI,a ʊ
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__d03990986c43a080d8b671a11a1c6d66.wav,57.12,57.4,KCHI,
sub-B1L0B3F6F1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__d03990986c43a080d8b671a11a1c6d66.wav,58.16,58.44,KCHI,
