filename,onset,offset,speaker,phonemes
sub-B1L0B3F6F1_ses-02_task-toyplay_run-03_audio__3e8bdc47e3e252ccfe1bdfa69d97bffa.wav,0.12,1.76,KCHI,d ɪ s k o f i
sub-B1L0B3F6F1_ses-02_task-toyplay_run-03_audio__3e8bdc47e3e252ccfe1bdfa69d97bffa.wav,2.18,2.58,KCHI,ɛ
sub-B1L0B3F6F1_ses-02_task-toyplay_run-03_audio__3e8bdc47e3e252ccfe1bdfa69d97bffa.wav,6.4,8.2,KCHI,a ɪ h a ʊ s ə m a n ə f ə
sub-B1L0B3F6F1_ses-02_task-toyplay_run-03_audio__3e8bdc47e3e252ccfe1bdfa69d97bffa.wav,8.58,9.48,KCHI,ɪ s ɪ ɡ ə ɹ
sub-B1L0B3F6F1_ses-02_task-toyplay_run-03_audio__3e8bdc47e3e252ccfe1bdfa69d97bffa.wav,15.92,17.0,KCHI,j u d o n i d ɪ
sub-B1L0B3F6F1_ses-02_task-toyplay_run-03_audio__3e8bdc47e3e252ccfe1bdfa69d97bffa.wav,19.08,19.9,KCHI,j ʌ j ɪ
sub-B1L0B3F6F1_ses-02_task-toyplay_run-03_audio__3e8bdc47e3e252ccfe1bdfa69d97bffa.wav,21.74,23.56,KCHI,a ɪ n o h a n i k ʌ p
sub-B1L0B3F6F1_ses-02_task-toyplay_run-03_audio__3e8bdc47e3e252ccfe1bdfa69d97bffa.wav,25.04,26.22,KCHI,o
sub-B1L0B3F6F1_ses-02_task-toyplay_run-03_audio__3e8bdc47e3e252ccfe1bdfa69d97bffa.wav,32.4,35.48,KCHI,ð ə b e ɪ b i ɡ o ŋ k ʌ m m i a ɪ k ɪ d ʒ ɪ
sub-B1L0B3F6F1_ses-02_task-toyplay_run-03_audio__3e8bdc47e3e252ccfe1bdfa69d97bffa.wav,35.92,36.68,KCHI,h ʊ k ʌ
