filename,onset,offset,speaker,phonemes
sub-B2R3Q8L2Y3_ses-01_task-dailyroutine_run-01_audio__d432b09197d7da215e4b377527a0d950.wav,11.94,12.9,KCHI,m
sub-B2R3Q8L2Y3_ses-01_task-dailyroutine_run-01_audio__d432b09197d7da215e4b377527a0d950.wav,21.66,22.38,KCHI,m ʌ m ʌ
sub-B2R3Q8L2Y3_ses-01_task-dailyroutine_run-01_audio__d432b09197d7da215e4b377527a0d950.wav,22.66,23.36,KCHI,ʌ m ʌ
sub-B2R3Q8L2Y3_ses-01_task-dailyroutine_run-01_audio__d432b09197d7da215e4b377527a0d950.wav,43.78,44.88,KCHI,ʊ ɔ
sub-B2R3Q8L2Y3_ses-01_task-dailyroutine_run-01_audio__d432b09197d7da215e4b377527a0d950.wav,51.04,51.38,KCHI,
sub-B2R3Q8L2Y3_ses-01_task-dailyroutine_run-01_audio__d432b09197d7da215e4b377527a0d950.wav,51.82,52.88,KCHI,a ʊ n o
sub-B2R3Q8L2Y3_ses-01_task-dailyroutine_run-01_audio__d432b09197d7da215e4b377527a0d950.wav,54.66,55.8,KCHI,l u k ə k
sub-B2R3Q8L2Y3_ses-01_task-dailyroutine_run-01_audio__d432b09197d7da215e4b377527a0d950.wav,56.08,56.68,KCHI,d ɪ
sub-B2R3Q8L2Y3_ses-01_task-dailyroutine_run-01_audio__d432b09197d7da215e4b377527a0d950.wav,66.68,67.44,KCHI,d e
sub-B2R3Q8L2Y3_ses-01_task-dailyroutine_run-01_audio__d432b09197d7da215e4b377527a0d950.wav,71.64,72.58,KCHI,m ə w ʌ n
sub-B2R3Q8L2Y3_ses-01_task-dailyroutine_run-01_audio__d432b09197d7da215e4b377527a0d950.wav,78.68,80.16,KCHI,ʃ u
sub-B2R3Q8L2Y3_ses-01_task-dailyroutine_run-01_audio__d432b09197d7da215e4b377527a0d950.wav,85.08,85.44,KCHI,
sub-B2R3Q8L2Y3_ses-01_task-dailyroutine_run-01_audio__d432b09197d7da215e4b377527a0d950.wav,96.0,97.08,KCHI,ɑ d o
