filename,onset,offset,speaker,phonemes
sub-B2R3Q8L2Y3_ses-01_task-toyplay_run-03_audio__647f7d7357ec7143c2c447c6802329b2.wav,36.26,37.18,KCHI,
sub-B2R3Q8L2Y3_ses-01_task-toyplay_run-03_audio__647f7d7357ec7143c2c447c6802329b2.wav,44.62,46.4,KCHI,d æ s u
sub-B2R3Q8L2Y3_ses-01_task-toyplay_run-03_audio__647f7d7357ec7143c2c447c6802329b2.wav,77.86,78.64,KCHI,
sub-B2R3Q8L2Y3_ses-01_task-toyplay_run-03_audio__647f7d7357ec7143c2c447c6802329b2.wav,78.78,78.92,KCHI,
sub-B2R3Q8L2Y3_ses-01_task-toyplay_run-03_audio__647f7d7357ec7143c2c447c6802329b2.wav,90.28,90.66,KCHI,j ʌ
sub-B2R3Q8L2Y3_ses-01_task-toyplay_run-03_audio__647f7d7357ec7143c2c447c6802329b2.wav,95.74,96.62,KCHI,j ʌ
sub-B2R3Q8L2Y3_ses-01_task-toyplay_run-03_audio__647f7d7357ec7143c2c447c6802329b2.wav,97.56,97.8,KCHI,
sub-B2R3Q8L2Y3_ses-01_task-toyplay_run-03_audio__647f7d7357ec7143c2c447c6802329b2.wav,123.38,125.4,KCHI,s i ɡ ɔ l a w
sub-B2R3Q8L2Y3_ses-01_task-toyplay_run-03_audio__647f7d7357ec7143c2c447c6802329b2.wav,136.18,136.92,KCHI,ə k ɪ ʃ
sub-B2R3Q8L2Y3_ses-01_task-toyplay_run-03_audio__647f7d7357ec7143c2c447c6802329b2.wav,137.7,138.16,KCHI,
sub-B2R3Q8L2Y3_ses-01_task-toyplay_run-03_audio__647f7d7357ec7143c2c447c6802329b2.wav,138.72,138.98,KCHI,
sub-B2R3Q8L2Y3_ses-01_task-toyplay_run-03_audio__647f7d7357ec7143c2c447c6802329b2.wav,154.52,155.22,KCHI,k w ʌ k
