filename,onset,offset,speaker,phonemes
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,0.0,3.48,KCHI,t ɔ k ə w e b a s i
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,3.96,4.34,KCHI,
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,6.72,7.96,KCHI,p i v ə b y
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,11.94,13.18,KCHI,t s ɛ k e d ɪ s e p e
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,14.3,14.7,KCHI,d ə b o
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,14.8,15.36,KCHI,p e
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,15.82,19.64,KCHI,ʁ o s k ɔ k ə d a p i v ə f e j o p u t a
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,27.86,33.0,KCHI,t a j d u p ɛ t ə t e ɛ̃ n ɛ j d a f e j ɑ̃ ɔ ɛ s
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,33.24,35.24,KCHI,v u m ə d a p ə w ɑ̃ k œ v
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,35.82,40.5,KCHI,p a w i d æ d ə s ɪ ɛ̃ s u d ə m a k ə p ɪ ɡ ə t ʃ a k
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,42.58,43.62,KCHI,t a
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,43.78,45.08,KCHI,j d u d ʌ p ə
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,45.2,45.88,KCHI,t e j z
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,46.12,47.6,KCHI,ə d a d æ d i j
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,47.76,51.74,KCHI,h ə m a ŋ ɡ i n a j h a d u d ʌ n t
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,55.72,56.96,KCHI,k ɛ
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,57.54,58.76,KCHI,h ɛ̃ n t t
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,60.58,71.52,KCHI,h ɛ̃ n t u d ə m a ɡ b a p a b a j u b ʊ ɛ h ɐ̃ d ə d ʌ ə b ɪ n h a w z m a j ə d u w ĩ n d ʌ ə h a w s d ɐ̃ t e j
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,106.6,109.38,KCHI,h a w d ə k æ d ə w ɐ̃ n
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,111.04,111.38,KCHI,
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,113.34,114.86,KCHI,t ʃ a ʃ ə f i
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,119.4,119.52,KCHI,
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,126.04,135.32,KCHI,p i d ə f u w ʊ t ə v w a j ə v ɛ d ɛ s d ɛ f ə s a j a j k b æ s m ʊ k ɔ p p i k m e j k ɔ p m a
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-01_audio__9130f1c95924843c40cd0e011871b7ef.wav,136.74,137.88,KCHI,p i p i
