filename,onset,offset,speaker,phonemes
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,0.0,1.42,KCHI,ə h a b a j b a
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,1.58,3.54,KCHI,d ɛ s æ d ɪ k æ t
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,6.52,8.06,KCHI,d ɪ s ə k æ s ɪ d
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,8.24,17.64,KCHI,i f o ɐ̃ n t ɛ d d ɛ̃ n d e n ə b ʌ d ɪ a n ə f ɑ l ə s e j n ə a w d i f o w
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,19.9,23.86,KCHI,h i j k ɐ̃ d ɐ̃ n t u ə i f o ɛ̃ n ə p a t
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,24.38,25.6,KCHI,i j a ɪ d ɪ s
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,25.94,27.38,KCHI,n o a n ɑ
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,27.86,31.54,KCHI,d ɪ s ə n ɛ d ɪ ɪ ɪ ŋ ɪ s ɪ t
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,31.84,32.22,KCHI,n o w
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,33.96,36.92,KCHI,n o a n a d ɪ w ʌ n j u b ɪ t
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,37.64,41.06,KCHI,d ʊ j u d ɛ d ɪ k ɑ ɪ n ə h ɑ d
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,41.54,42.44,KCHI,n u
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,43.48,47.2,KCHI,ɪ m ɛ d ɪ s w e ɪ k ɛ m ɪ s ə k e k
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,47.76,50.7,KCHI,ɛ n ə w ʌ s t ɑ
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,52.8,57.42,KCHI,n ʌ p ɪ t j u n ʌ b i h ɛ e j u p ə
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,58.88,61.28,KCHI,d ɪ t a w d ɪ s h a ʊ w t
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,61.78,63.46,KCHI,ə f ɪ t ɪ n ə p ɑ
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,64.68,67.66,KCHI,a ɪ j ʌ ɡ ɪ ð ə z ʌ k ə k æ t ɪ n ə h æ t
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,67.86,70.46,KCHI,a ɪ f ɪ s ɪ n ə p ɑ t
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,72.74,73.68,KCHI,n o
sub-B4Q3G8H2N3_ses-02_task-bookshare_run-02_audio__e367473c0ed179f5b1c855f0b4bdaa25.wav,75.92,89.1,KCHI,ə n æ p ɪ s ɪ k o s o s o k æ s o v s o s o w a j d ɪ n o ɡ ɪ n k ĩ a j n o w w ɪ n d a ɛ f ʌ s
