filename,onset,offset,speaker,phonemes
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,7.96,8.5,KCHI,n o j
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,17.2,18.16,KCHI,ɐ j o
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,27.86,30.02,KCHI,d a d a d a d a d a d a d a
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,44.54,47.48,KCHI,d o d a d a d o d o e
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,53.74,54.66,KCHI,d æ d e
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,63.68,65.46,KCHI,d ɪ d ɪ d ɪ d ɪ d ɪ s
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,91.22,91.44,KCHI,s
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,92.06,92.18,KCHI,
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,92.98,93.34,KCHI,d e
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,108.06,108.66,KCHI,d æ
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,109.62,110.82,KCHI,ɪ ɪ d ʌ
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,112.02,112.96,KCHI,a n o n o n o
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,115.84,116.24,KCHI,d o
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,122.96,124.2,KCHI,d a d ʁ
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,126.12,126.66,KCHI,o
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,130.84,132.64,KCHI,o
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,142.5,143.28,KCHI,v
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,146.48,147.26,KCHI,d a d a
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,147.38,148.4,KCHI,a d a d a d a
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,148.5,148.66,KCHI,
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,151.24,151.54,KCHI,d a
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,158.48,159.58,KCHI,
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,160.94,162.02,KCHI,b a j o
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,163.78,164.42,KCHI,o
sub-B8I6G9P2G8_ses-01_task-toyplay_run-01_audio__64f5ce153df4c57291e9d521ef2e69b5.wav,165.88,167.16,KCHI,o d ɪ d ɪ d
