filename,onset,offset,speaker,phonemes
sub-C0O6X3N5Y7_ses-01_task-socialroutine_run-01_audio__a5c4a4fcde6de805486d6a18564daea4.wav,0.62,1.9,KCHI,
sub-C0O6X3N5Y7_ses-01_task-socialroutine_run-01_audio__a5c4a4fcde6de805486d6a18564daea4.wav,2.08,10.5,KCHI,
sub-C0O6X3N5Y7_ses-01_task-socialroutine_run-01_audio__a5c4a4fcde6de805486d6a18564daea4.wav,10.94,14.02,KCHI,
sub-C0O6X3N5Y7_ses-01_task-socialroutine_run-01_audio__a5c4a4fcde6de805486d6a18564daea4.wav,17.18,18.24,KCHI,
sub-C0O6X3N5Y7_ses-01_task-socialroutine_run-01_audio__a5c4a4fcde6de805486d6a18564daea4.wav,23.88,26.96,KCHI,j æ
sub-C0O6X3N5Y7_ses-01_task-socialroutine_run-01_audio__a5c4a4fcde6de805486d6a18564daea4.wav,28.26,32.22,KCHI,
sub-C0O6X3N5Y7_ses-01_task-socialroutine_run-01_audio__a5c4a4fcde6de805486d6a18564daea4.wav,34.66,35.1,KCHI,
sub-C0O6X3N5Y7_ses-01_task-socialroutine_run-01_audio__a5c4a4fcde6de805486d6a18564daea4.wav,37.24,37.82,KCHI,
sub-C0O6X3N5Y7_ses-01_task-socialroutine_run-01_audio__a5c4a4fcde6de805486d6a18564daea4.wav,38.26,38.42,KCHI,
sub-C0O6X3N5Y7_ses-01_task-socialroutine_run-01_audio__a5c4a4fcde6de805486d6a18564daea4.wav,39.28,39.7,KCHI,
sub-C0O6X3N5Y7_ses-01_task-socialroutine_run-01_audio__a5c4a4fcde6de805486d6a18564daea4.wav,40.06,41.02,KCHI,
sub-C0O6X3N5Y7_ses-01_task-socialroutine_run-01_audio__a5c4a4fcde6de805486d6a18564daea4.wav,46.22,46.76,KCHI,
sub-C0O6X3N5Y7_ses-01_task-socialroutine_run-01_audio__a5c4a4fcde6de805486d6a18564daea4.wav,47.46,49.16,KCHI,ɪ
sub-C0O6X3N5Y7_ses-01_task-socialroutine_run-01_audio__a5c4a4fcde6de805486d6a18564daea4.wav,50.32,52.24,KCHI,
sub-C0O6X3N5Y7_ses-01_task-socialroutine_run-01_audio__a5c4a4fcde6de805486d6a18564daea4.wav,52.8,54.52,KCHI,ɛ
sub-C0O6X3N5Y7_ses-01_task-socialroutine_run-01_audio__a5c4a4fcde6de805486d6a18564daea4.wav,57.14,57.72,KCHI,h ɛ
sub-C0O6X3N5Y7_ses-01_task-socialroutine_run-01_audio__a5c4a4fcde6de805486d6a18564daea4.wav,59.66,60.3,KCHI,
sub-C0O6X3N5Y7_ses-01_task-socialroutine_run-01_audio__a5c4a4fcde6de805486d6a18564daea4.wav,60.82,61.36,KCHI,
sub-C0O6X3N5Y7_ses-01_task-socialroutine_run-01_audio__a5c4a4fcde6de805486d6a18564daea4.wav,61.74,62.5,KCHI,ɪ
