filename,onset,offset,speaker,phonemes
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,14.16,15.92,KCHI,m ʌ
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,17.7,19.54,KCHI,j ɛ
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,20.9,21.64,KCHI,t w e ɪ t
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,42.86,43.78,KCHI,t u
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,59.76,60.8,KCHI,
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,133.26,134.1,KCHI,s ɛ k
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,166.28,167.54,KCHI,w a ɪ t u
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,262.84,263.08,KCHI,
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,272.06,274.04,KCHI,
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,279.52,281.56,KCHI,a
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,290.54,291.72,KCHI,æ
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,298.56,299.48,KCHI,
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,306.46,308.58,KCHI,i
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,318.4,318.56,KCHI,
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,319.38,319.56,KCHI,
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,377.12,377.72,KCHI,
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,390.04,390.7,KCHI,
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,424.36,425.12,KCHI,b ɪ
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,426.6,427.64,KCHI,ʌ ʊ
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,428.12,428.66,KCHI,ʌ
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,458.94,459.4,KCHI,u
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,494.86,495.68,KCHI,m
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,512.54,513.18,KCHI,n o
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,513.42,514.24,KCHI,
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,515.84,517.24,KCHI,
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,545.26,547.36,KCHI,f w o ʊ t e
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,549.94,552.46,KCHI,t w n
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,617.82,618.6,KCHI,m
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,618.84,619.4,KCHI,
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,657.2,658.84,KCHI,
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,672.62,672.8,KCHI,
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,696.5,697.74,KCHI,b ɑ b ɑ m ə
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,702.34,703.38,KCHI,b ɑ
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,704.46,704.84,KCHI,b ɑ m
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,707.2,707.7,KCHI,p ə
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,709.68,709.9,KCHI,
sub-D4Y7P4G2V4_ses-02_task-toyplay_run-11_audio__1ee3b379888a43485f283bc825111a57.wav,710.02,710.24,KCHI,
