filename,onset,offset,speaker,phonemes
sub-D8G5K7I0D6_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31ac57f20d6bf2a5cc2466b948e44e05.wav,2.58,2.74,KCHI,
sub-D8G5K7I0D6_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31ac57f20d6bf2a5cc2466b948e44e05.wav,4.42,5.58,KCHI,b æ d æ
sub-D8G5K7I0D6_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31ac57f20d6bf2a5cc2466b948e44e05.wav,8.6,9.0,KCHI,
sub-D8G5K7I0D6_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31ac57f20d6bf2a5cc2466b948e44e05.wav,9.58,9.88,KCHI,
sub-D8G5K7I0D6_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31ac57f20d6bf2a5cc2466b948e44e05.wav,10.24,11.02,KCHI,
sub-D8G5K7I0D6_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31ac57f20d6bf2a5cc2466b948e44e05.wav,11.52,11.94,KCHI,
sub-D8G5K7I0D6_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31ac57f20d6bf2a5cc2466b948e44e05.wav,34.02,34.82,KCHI,ʌ b a
sub-D8G5K7I0D6_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31ac57f20d6bf2a5cc2466b948e44e05.wav,35.02,36.3,KCHI,b a b a b a
sub-D8G5K7I0D6_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31ac57f20d6bf2a5cc2466b948e44e05.wav,39.26,40.0,KCHI,
sub-D8G5K7I0D6_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31ac57f20d6bf2a5cc2466b948e44e05.wav,43.2,43.78,KCHI,
sub-D8G5K7I0D6_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31ac57f20d6bf2a5cc2466b948e44e05.wav,47.76,48.62,KCHI,b ʌ p
sub-D8G5K7I0D6_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31ac57f20d6bf2a5cc2466b948e44e05.wav,48.98,50.0,KCHI,p æ p æ
sub-D8G5K7I0D6_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31ac57f20d6bf2a5cc2466b948e44e05.wav,52.26,53.64,KCHI,d ʌ b ʌ b æ b æ
sub-D8G5K7I0D6_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31ac57f20d6bf2a5cc2466b948e44e05.wav,60.56,61.54,KCHI,b æ m ʌ
sub-D8G5K7I0D6_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31ac57f20d6bf2a5cc2466b948e44e05.wav,64.1,65.2,KCHI,b æ b ʌ
sub-D8G5K7I0D6_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31ac57f20d6bf2a5cc2466b948e44e05.wav,65.54,66.74,KCHI,b æ b ʌ
sub-D8G5K7I0D6_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31ac57f20d6bf2a5cc2466b948e44e05.wav,69.8,70.82,KCHI,ə b æ p ʌ
