filename,onset,offset,speaker,phonemes
sub-D8O8B2C4X2_ses-02_task-toyplay_run-03_audio__5b9469bac747a0b67b9a91d634b14206.wav,1.26,1.72,KCHI,m
sub-D8O8B2C4X2_ses-02_task-toyplay_run-03_audio__5b9469bac747a0b67b9a91d634b14206.wav,4.18,4.88,KCHI,d o
sub-D8O8B2C4X2_ses-02_task-toyplay_run-03_audio__5b9469bac747a0b67b9a91d634b14206.wav,5.66,7.64,KCHI,d o m i d o i s o m i
sub-D8O8B2C4X2_ses-02_task-toyplay_run-03_audio__5b9469bac747a0b67b9a91d634b14206.wav,9.28,9.92,KCHI,j æ
sub-D8O8B2C4X2_ses-02_task-toyplay_run-03_audio__5b9469bac747a0b67b9a91d634b14206.wav,12.56,13.24,KCHI,d ɑ
sub-D8O8B2C4X2_ses-02_task-toyplay_run-03_audio__5b9469bac747a0b67b9a91d634b14206.wav,13.76,14.42,KCHI,d æ d i
sub-D8O8B2C4X2_ses-02_task-toyplay_run-03_audio__5b9469bac747a0b67b9a91d634b14206.wav,15.92,19.48,KCHI,u u d æ d ə m a m a ɪ e j ɛ
sub-D8O8B2C4X2_ses-02_task-toyplay_run-03_audio__5b9469bac747a0b67b9a91d634b14206.wav,20.9,23.68,KCHI,n o j u j u d o i m a ɪ m a d æ d i
sub-D8O8B2C4X2_ses-02_task-toyplay_run-03_audio__5b9469bac747a0b67b9a91d634b14206.wav,26.52,27.14,KCHI,j æ
sub-D8O8B2C4X2_ses-02_task-toyplay_run-03_audio__5b9469bac747a0b67b9a91d634b14206.wav,28.88,31.1,KCHI,ʌ n a d ɪ i m a ɪ d æ d i
sub-D8O8B2C4X2_ses-02_task-toyplay_run-03_audio__5b9469bac747a0b67b9a91d634b14206.wav,33.18,33.84,KCHI,j æ
sub-D8O8B2C4X2_ses-02_task-toyplay_run-03_audio__5b9469bac747a0b67b9a91d634b14206.wav,34.4,35.82,KCHI,h ɛ o d æ d ɪ
sub-D8O8B2C4X2_ses-02_task-toyplay_run-03_audio__5b9469bac747a0b67b9a91d634b14206.wav,36.32,36.98,KCHI,ʌ
sub-D8O8B2C4X2_ses-02_task-toyplay_run-03_audio__5b9469bac747a0b67b9a91d634b14206.wav,39.8,40.66,KCHI,d ə ɹ
sub-D8O8B2C4X2_ses-02_task-toyplay_run-03_audio__5b9469bac747a0b67b9a91d634b14206.wav,41.04,43.78,KCHI,d u d u m i ɪ d ɪ d ʌ m i d o ɪ
sub-D8O8B2C4X2_ses-02_task-toyplay_run-03_audio__5b9469bac747a0b67b9a91d634b14206.wav,49.44,51.3,KCHI,n o m ʌ d æ d i
sub-D8O8B2C4X2_ses-02_task-toyplay_run-03_audio__5b9469bac747a0b67b9a91d634b14206.wav,52.72,54.34,KCHI,b a b a ɪ d æ d i
sub-D8O8B2C4X2_ses-02_task-toyplay_run-03_audio__5b9469bac747a0b67b9a91d634b14206.wav,54.44,54.9,KCHI,
