filename,onset,offset,speaker,phonemes
sub-E3O3H8O7H4_ses-01_task-other_run-01_audio__fa73bb98d5677925fd90af8824217dd4.wav,7.56,7.96,KCHI,b ɛ
sub-E3O3H8O7H4_ses-01_task-other_run-01_audio__fa73bb98d5677925fd90af8824217dd4.wav,11.94,12.16,KCHI,
sub-E3O3H8O7H4_ses-01_task-other_run-01_audio__fa73bb98d5677925fd90af8824217dd4.wav,25.04,27.46,KCHI,b
sub-E3O3H8O7H4_ses-01_task-other_run-01_audio__fa73bb98d5677925fd90af8824217dd4.wav,41.9,42.22,KCHI,h
sub-E3O3H8O7H4_ses-01_task-other_run-01_audio__fa73bb98d5677925fd90af8824217dd4.wav,46.96,47.76,KCHI,s p a j d
sub-E3O3H8O7H4_ses-01_task-other_run-01_audio__fa73bb98d5677925fd90af8824217dd4.wav,50.08,51.42,KCHI,w i d i d ɪ ŋ
sub-E3O3H8O7H4_ses-01_task-other_run-01_audio__fa73bb98d5677925fd90af8824217dd4.wav,54.0,54.48,KCHI,b ʌ ŋ k
sub-E3O3H8O7H4_ses-01_task-other_run-01_audio__fa73bb98d5677925fd90af8824217dd4.wav,54.94,55.32,KCHI,k w
sub-E3O3H8O7H4_ses-01_task-other_run-01_audio__fa73bb98d5677925fd90af8824217dd4.wav,55.72,56.6,KCHI,b a ŋ k
sub-E3O3H8O7H4_ses-01_task-other_run-01_audio__fa73bb98d5677925fd90af8824217dd4.wav,57.14,57.94,KCHI,b a
