filename,onset,offset,speaker,phonemes
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,0.0,3.36,KCHI,ɡ w i m u n d u t a l ə f o ɪ n
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,8.92,11.94,KCHI,æ n d ɛ w ə z k w ɑ k s
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,12.26,12.98,KCHI,
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,15.92,16.6,KCHI,w u n
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,26.42,27.58,KCHI,æ n d
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,27.86,31.84,KCHI,p ɪ k s w ʌ v ə k a ʊ s ʌ m p ɪ ŋ o b ə d ə m u n
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,32.46,37.2,KCHI,ə p ɪ k s ə ʌ v f w i b ɛ w w ɛ o b ɛ a s ɪ ŋ a n s ɪ z
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,37.84,38.96,KCHI,ɛ s ə
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,39.96,41.64,KCHI,o k e ɪ
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,41.74,42.24,KCHI,ɡ ɪ
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,42.94,43.78,KCHI,ɡ ʊ n a ɪ k a
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,51.18,53.82,KCHI,a n ɡ ɪ n a ɪ t f ɛ b ɛ k θ ɪ ŋ ŋ a n θ ɪ f
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,58.18,60.02,KCHI,æ n ɡ ɪ n a ɪ t f ɪ
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,64.38,64.6,KCHI,
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,64.76,64.96,KCHI,
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,65.9,66.32,KCHI,
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,66.6,67.12,KCHI,k ɪ m i
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,67.52,68.24,KCHI,ɡ ɪ n a
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,69.72,70.92,KCHI,w i
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,71.64,73.14,KCHI,n m a
sub-E3O3H8O7H4_ses-02_task-bookshare_run-01_audio__2371c2e1cc2e041cab7ad4286a0baf7a.wav,75.4,75.62,KCHI,ɡ ʊ
