filename,onset,offset,speaker,phonemes
sub-E7T7O3G7J5_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__d05853346398e0f7e42437d46ab1d5ec.wav,9.44,10.06,KCHI,
sub-E7T7O3G7J5_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__d05853346398e0f7e42437d46ab1d5ec.wav,35.3,35.82,KCHI,
sub-E7T7O3G7J5_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__d05853346398e0f7e42437d46ab1d5ec.wav,57.66,58.52,KCHI,o p ɪ
sub-E7T7O3G7J5_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__d05853346398e0f7e42437d46ab1d5ec.wav,66.96,67.66,KCHI,o p ɪ
sub-E7T7O3G7J5_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__d05853346398e0f7e42437d46ab1d5ec.wav,77.2,78.16,KCHI,
sub-E7T7O3G7J5_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__d05853346398e0f7e42437d46ab1d5ec.wav,79.6,80.9,KCHI,
sub-E7T7O3G7J5_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__d05853346398e0f7e42437d46ab1d5ec.wav,82.34,84.78,KCHI,
sub-E7T7O3G7J5_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__d05853346398e0f7e42437d46ab1d5ec.wav,86.32,86.6,KCHI,
sub-E7T7O3G7J5_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__d05853346398e0f7e42437d46ab1d5ec.wav,87.56,89.2,KCHI,æ i i
sub-E7T7O3G7J5_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__d05853346398e0f7e42437d46ab1d5ec.wav,95.96,97.24,KCHI,æ i
