filename,onset,offset,speaker,phonemes
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,2.42,3.84,KCHI,m i m i p ɑ p ɑ
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,5.68,6.3,KCHI,n ʌ
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,6.84,7.58,KCHI,m
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,8.62,9.1,KCHI,m
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,10.64,11.1,KCHI,m
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,12.36,12.76,KCHI,m
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,13.64,13.98,KCHI,m
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,24.8,25.36,KCHI,m
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,26.5,27.02,KCHI,m
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,31.46,31.96,KCHI,m
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,32.86,33.36,KCHI,m
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,38.58,39.12,KCHI,
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,42.48,43.4,KCHI,w ʌ t ʒ ɪ n
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,43.68,44.84,KCHI,w ɪ t ʃ u
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,48.26,48.36,KCHI,
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,49.6,51.68,KCHI,ə w ʌ s b i s ə m f ɪ n
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,52.66,55.82,KCHI,ɪ t s ɪ d æ t s m a w ʌ d ɪ z d ɪ s
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,66.14,66.84,KCHI,m h m
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,67.86,73.02,KCHI,d ʒ i d ʒ i e v i a ɪ ɛ n
sub-E7Z4G3O5K2_ses-02_task-other_run-01_audio__1a63da1335224e8d78553c73177b2aef.wav,74.64,77.56,KCHI,k æ ŋ k u m e m e p a p a f
