filename,onset,offset,speaker,phonemes
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-02_audio__e9be775777682ab3e8e583f8f878ddc4.wav,0.0,4.72,KCHI,k ɛ ɹ ɪ ɪ v ɪ m a ɪ f e k s u p ə ɹ m ʌ s o
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-02_audio__e9be775777682ab3e8e583f8f878ddc4.wav,6.56,8.12,KCHI,d ʊ ʊ
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-02_audio__e9be775777682ab3e8e583f8f878ddc4.wav,10.12,10.78,KCHI,j æ
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-02_audio__e9be775777682ab3e8e583f8f878ddc4.wav,11.58,12.18,KCHI,j æ
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-02_audio__e9be775777682ab3e8e583f8f878ddc4.wav,13.14,13.72,KCHI,j æ
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-02_audio__e9be775777682ab3e8e583f8f878ddc4.wav,21.72,22.74,KCHI,j æ
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-02_audio__e9be775777682ab3e8e583f8f878ddc4.wav,23.62,24.22,KCHI,
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-02_audio__e9be775777682ab3e8e583f8f878ddc4.wav,26.16,27.4,KCHI,b e b i b ɛ d
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-02_audio__e9be775777682ab3e8e583f8f878ddc4.wav,28.78,30.28,KCHI,d e k j u
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-02_audio__e9be775777682ab3e8e583f8f878ddc4.wav,31.5,32.88,KCHI,j æ
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-02_audio__e9be775777682ab3e8e583f8f878ddc4.wav,33.38,36.44,KCHI,f ə r s w ɪ t o p ɪ ŋ d i z ə p
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-02_audio__e9be775777682ab3e8e583f8f878ddc4.wav,39.36,42.82,KCHI,w e t w m ɑ m i j o ɡ ɛ t ə s ɪ z ə z
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-02_audio__e9be775777682ab3e8e583f8f878ddc4.wav,44.96,47.18,KCHI,b a ɪ
