filename,onset,offset,speaker,phonemes
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-03_audio__d2c83e3889760b32bcea09077ad9c76f.wav,0.0,0.96,KCHI,i ɐ
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-03_audio__d2c83e3889760b32bcea09077ad9c76f.wav,1.52,2.58,KCHI,h ɛ h ɛ
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-03_audio__d2c83e3889760b32bcea09077ad9c76f.wav,2.84,3.98,KCHI,t s ɪ v i
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-03_audio__d2c83e3889760b32bcea09077ad9c76f.wav,11.94,13.2,KCHI,j u
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-03_audio__d2c83e3889760b32bcea09077ad9c76f.wav,16.32,17.46,KCHI,w ɔ t ʃ
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-03_audio__d2c83e3889760b32bcea09077ad9c76f.wav,23.26,23.7,KCHI,h i s ɪ z
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-03_audio__d2c83e3889760b32bcea09077ad9c76f.wav,23.88,24.2,KCHI,i t
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-03_audio__d2c83e3889760b32bcea09077ad9c76f.wav,27.86,28.02,KCHI,s
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-03_audio__d2c83e3889760b32bcea09077ad9c76f.wav,29.3,30.26,KCHI,n o d ʌ
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-03_audio__d2c83e3889760b32bcea09077ad9c76f.wav,33.98,36.22,KCHI,ʌ h i ɡ ɑ t d ɪ s n ə z
sub-E7Z4G3O5K2_ses-02_task-toyplay_run-03_audio__d2c83e3889760b32bcea09077ad9c76f.wav,36.64,37.6,KCHI,h æ t
