filename,onset,offset,speaker,phonemes
sub-F3N4H0K1Z1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31e371522fafdb431e5cb05c2809356d.wav,0.0,1.46,KCHI,a ɐ a a
sub-F3N4H0K1Z1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31e371522fafdb431e5cb05c2809356d.wav,3.26,3.66,KCHI,
sub-F3N4H0K1Z1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31e371522fafdb431e5cb05c2809356d.wav,3.98,7.46,KCHI,
sub-F3N4H0K1Z1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31e371522fafdb431e5cb05c2809356d.wav,7.68,11.04,KCHI,a
sub-F3N4H0K1Z1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31e371522fafdb431e5cb05c2809356d.wav,11.54,14.48,KCHI,
sub-F3N4H0K1Z1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31e371522fafdb431e5cb05c2809356d.wav,15.64,17.66,KCHI,
sub-F3N4H0K1Z1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31e371522fafdb431e5cb05c2809356d.wav,18.32,21.42,KCHI,
sub-F3N4H0K1Z1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31e371522fafdb431e5cb05c2809356d.wav,21.64,22.8,KCHI,
sub-F3N4H0K1Z1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31e371522fafdb431e5cb05c2809356d.wav,22.94,26.26,KCHI,a
sub-F3N4H0K1Z1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31e371522fafdb431e5cb05c2809356d.wav,27.12,28.34,KCHI,a
sub-F3N4H0K1Z1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31e371522fafdb431e5cb05c2809356d.wav,32.78,33.38,KCHI,
sub-F3N4H0K1Z1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31e371522fafdb431e5cb05c2809356d.wav,34.42,37.06,KCHI,
sub-F3N4H0K1Z1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__31e371522fafdb431e5cb05c2809356d.wav,43.08,45.06,KCHI,
