filename,onset,offset,speaker,phonemes
sub-F3N4H0K1Z1_ses-02_task-other_run-01_audio__a67905e4ab15470d3a8c3a3185047f94.wav,0.0,2.42,KCHI,
sub-F3N4H0K1Z1_ses-02_task-other_run-01_audio__a67905e4ab15470d3a8c3a3185047f94.wav,7.52,7.96,KCHI,ʌ
sub-F3N4H0K1Z1_ses-02_task-other_run-01_audio__a67905e4ab15470d3a8c3a3185047f94.wav,8.54,8.8,KCHI,ɡ ʌ
sub-F3N4H0K1Z1_ses-02_task-other_run-01_audio__a67905e4ab15470d3a8c3a3185047f94.wav,11.16,11.56,KCHI,ʌ
sub-F3N4H0K1Z1_ses-02_task-other_run-01_audio__a67905e4ab15470d3a8c3a3185047f94.wav,30.48,31.28,KCHI,ʌ
sub-F3N4H0K1Z1_ses-02_task-other_run-01_audio__a67905e4ab15470d3a8c3a3185047f94.wav,32.28,33.62,KCHI,k ʌ ʌ
sub-F3N4H0K1Z1_ses-02_task-other_run-01_audio__a67905e4ab15470d3a8c3a3185047f94.wav,34.04,35.82,KCHI,m ʌ
sub-F3N4H0K1Z1_ses-02_task-other_run-01_audio__a67905e4ab15470d3a8c3a3185047f94.wav,36.86,37.44,KCHI,d ɛ
sub-F3N4H0K1Z1_ses-02_task-other_run-01_audio__a67905e4ab15470d3a8c3a3185047f94.wav,38.12,38.72,KCHI,ɛ
sub-F3N4H0K1Z1_ses-02_task-other_run-01_audio__a67905e4ab15470d3a8c3a3185047f94.wav,39.8,47.24,KCHI,m ɛ m ɛ m ɛ æ æ æ s n æ m æ n æ n æ m ɛ m ʌ
