filename,onset,offset,speaker,phonemes
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,0.0,0.24,KCHI,
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,1.24,2.34,KCHI,ə p u z ə
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,3.68,4.76,KCHI,b ʌ b u z ə
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,5.06,6.06,KCHI,ʌ p s
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,6.94,7.82,KCHI,b ʌ p s
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,8.68,9.86,KCHI,b ʌ b æ
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,11.38,12.42,KCHI,b ʌ b z ə
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,12.78,14.52,KCHI,ə b a z ə
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,15.5,16.42,KCHI,b a z ə
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,25.5,26.18,KCHI,n ʌ p m
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,26.78,27.86,KCHI,ʌ p ɪ z ʌ m
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,28.96,29.76,KCHI,b ʌ z o
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,37.16,40.26,KCHI,s o ə b u z ə
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,41.3,43.78,KCHI,b ʌ b z ə b ʌ z ə a p s
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,44.8,46.02,KCHI,b ʌ b ʌ
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,46.7,49.04,KCHI,ə b ʌ z æ ʌ p ɪ z ə
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,50.38,51.2,KCHI,b ʌ b ə
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,52.18,53.24,KCHI,b ʌ l ɪ z ə
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,54.2,55.44,KCHI,b ʌ z ə z ə
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,56.32,57.94,KCHI,b ʌ b ɛ s ə
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,59.06,59.48,KCHI,
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,59.7,59.86,KCHI,
sub-F6J0V8B6S4_ses-02_task-other_run-01_audio__50c38a9cbb02bfe4aeb4944d94afc7fb.wav,61.16,62.68,KCHI,p a s s ə p ə
