filename,onset,offset,speaker,phonemes
sub-F8V2U5P1A0_ses-02_task-toyplay_run-01_audio__6e01aee9ee5b123994bc1cebe310a993.wav,3.98,7.54,KCHI,o ɡ ə ə
sub-F8V2U5P1A0_ses-02_task-toyplay_run-01_audio__6e01aee9ee5b123994bc1cebe310a993.wav,10.72,11.36,KCHI,ə d
sub-F8V2U5P1A0_ses-02_task-toyplay_run-01_audio__6e01aee9ee5b123994bc1cebe310a993.wav,11.46,11.8,KCHI,ɪ d
sub-F8V2U5P1A0_ses-02_task-toyplay_run-01_audio__6e01aee9ee5b123994bc1cebe310a993.wav,11.94,12.42,KCHI,ɹ
sub-F8V2U5P1A0_ses-02_task-toyplay_run-01_audio__6e01aee9ee5b123994bc1cebe310a993.wav,13.88,15.28,KCHI,ɹ a r s t ə r ʃ
sub-F8V2U5P1A0_ses-02_task-toyplay_run-01_audio__6e01aee9ee5b123994bc1cebe310a993.wav,16.06,16.68,KCHI,ɹ ɛ r
sub-F8V2U5P1A0_ses-02_task-toyplay_run-01_audio__6e01aee9ee5b123994bc1cebe310a993.wav,17.24,18.48,KCHI,r e ə ɡ ə r
sub-F8V2U5P1A0_ses-02_task-toyplay_run-01_audio__6e01aee9ee5b123994bc1cebe310a993.wav,22.28,23.24,KCHI,w
sub-F8V2U5P1A0_ses-02_task-toyplay_run-01_audio__6e01aee9ee5b123994bc1cebe310a993.wav,28.5,30.02,KCHI,w æ
sub-F8V2U5P1A0_ses-02_task-toyplay_run-01_audio__6e01aee9ee5b123994bc1cebe310a993.wav,31.12,33.52,KCHI,d ə ɹ d ʌ
sub-F8V2U5P1A0_ses-02_task-toyplay_run-01_audio__6e01aee9ee5b123994bc1cebe310a993.wav,34.84,35.44,KCHI,w ʌ n
sub-F8V2U5P1A0_ses-02_task-toyplay_run-01_audio__6e01aee9ee5b123994bc1cebe310a993.wav,36.26,37.12,KCHI,d ʌ m
sub-F8V2U5P1A0_ses-02_task-toyplay_run-01_audio__6e01aee9ee5b123994bc1cebe310a993.wav,38.12,40.26,KCHI,w a j t y t ɔ m t
sub-F8V2U5P1A0_ses-02_task-toyplay_run-01_audio__6e01aee9ee5b123994bc1cebe310a993.wav,40.66,41.76,KCHI,w a t u
sub-F8V2U5P1A0_ses-02_task-toyplay_run-01_audio__6e01aee9ee5b123994bc1cebe310a993.wav,42.48,43.78,KCHI,t u ə d a
sub-F8V2U5P1A0_ses-02_task-toyplay_run-01_audio__6e01aee9ee5b123994bc1cebe310a993.wav,44.6,46.06,KCHI,w a t u
sub-F8V2U5P1A0_ses-02_task-toyplay_run-01_audio__6e01aee9ee5b123994bc1cebe310a993.wav,49.28,53.06,KCHI,ə o d ʌ n ʌ s o ɹ
sub-F8V2U5P1A0_ses-02_task-toyplay_run-01_audio__6e01aee9ee5b123994bc1cebe310a993.wav,61.58,63.86,KCHI,w ʌ n t u ʌ
sub-F8V2U5P1A0_ses-02_task-toyplay_run-01_audio__6e01aee9ee5b123994bc1cebe310a993.wav,65.58,66.58,KCHI,j ʌ
