filename,onset,offset,speaker,phonemes
sub-G3A6S5R9F7_ses-01_task-socialroutine_run-03_audio__bfca7b6932423383f44f487031b4249b.wav,1.66,2.58,KCHI,ɛ
sub-G3A6S5R9F7_ses-01_task-socialroutine_run-03_audio__bfca7b6932423383f44f487031b4249b.wav,2.84,3.58,KCHI,
sub-G3A6S5R9F7_ses-01_task-socialroutine_run-03_audio__bfca7b6932423383f44f487031b4249b.wav,3.98,4.92,KCHI,
sub-G3A6S5R9F7_ses-01_task-socialroutine_run-03_audio__bfca7b6932423383f44f487031b4249b.wav,5.64,6.14,KCHI,
sub-G3A6S5R9F7_ses-01_task-socialroutine_run-03_audio__bfca7b6932423383f44f487031b4249b.wav,8.72,10.06,KCHI,h ɪ u
sub-G3A6S5R9F7_ses-01_task-socialroutine_run-03_audio__bfca7b6932423383f44f487031b4249b.wav,19.08,20.32,KCHI,
sub-G3A6S5R9F7_ses-01_task-socialroutine_run-03_audio__bfca7b6932423383f44f487031b4249b.wav,20.56,21.1,KCHI,
sub-G3A6S5R9F7_ses-01_task-socialroutine_run-03_audio__bfca7b6932423383f44f487031b4249b.wav,21.34,22.94,KCHI,ɛ
sub-G3A6S5R9F7_ses-01_task-socialroutine_run-03_audio__bfca7b6932423383f44f487031b4249b.wav,25.14,26.22,KCHI,ɛ
sub-G3A6S5R9F7_ses-01_task-socialroutine_run-03_audio__bfca7b6932423383f44f487031b4249b.wav,29.32,30.52,KCHI,ɛ
sub-G3A6S5R9F7_ses-01_task-socialroutine_run-03_audio__bfca7b6932423383f44f487031b4249b.wav,32.88,33.3,KCHI,
sub-G3A6S5R9F7_ses-01_task-socialroutine_run-03_audio__bfca7b6932423383f44f487031b4249b.wav,34.48,35.82,KCHI,ɪ
