filename,onset,offset,speaker,phonemes
sub-G3D3S2N7W8_ses-02_task-motorplay_run-01_audio__d939d78cee8fb460f48ab20bad63680c.wav,44.8,46.32,KCHI,h m k a k a
sub-G3D3S2N7W8_ses-02_task-motorplay_run-01_audio__d939d78cee8fb460f48ab20bad63680c.wav,64.86,65.8,KCHI,a ɪ m i t
sub-G3D3S2N7W8_ses-02_task-motorplay_run-01_audio__d939d78cee8fb460f48ab20bad63680c.wav,80.5,82.34,KCHI,a ɪ m i t ɪ
sub-G3D3S2N7W8_ses-02_task-motorplay_run-01_audio__d939d78cee8fb460f48ab20bad63680c.wav,88.18,89.94,KCHI,a ɪ i t h ɪ
sub-G3D3S2N7W8_ses-02_task-motorplay_run-01_audio__d939d78cee8fb460f48ab20bad63680c.wav,93.14,95.1,KCHI,a ɪ m e t ɛ
sub-G3D3S2N7W8_ses-02_task-motorplay_run-01_audio__d939d78cee8fb460f48ab20bad63680c.wav,100.8,102.32,KCHI,a n e t
sub-G3D3S2N7W8_ses-02_task-motorplay_run-01_audio__d939d78cee8fb460f48ab20bad63680c.wav,103.54,103.8,KCHI,a
sub-G3D3S2N7W8_ses-02_task-motorplay_run-01_audio__d939d78cee8fb460f48ab20bad63680c.wav,104.56,105.78,KCHI,
sub-G3D3S2N7W8_ses-02_task-motorplay_run-01_audio__d939d78cee8fb460f48ab20bad63680c.wav,107.26,108.1,KCHI,m
sub-G3D3S2N7W8_ses-02_task-motorplay_run-01_audio__d939d78cee8fb460f48ab20bad63680c.wav,126.6,130.24,KCHI,ɔ̃ f a k ɔ̃ w a k f a k ɔ̃ p a k ɔ̃ p a k n
sub-G3D3S2N7W8_ses-02_task-motorplay_run-01_audio__d939d78cee8fb460f48ab20bad63680c.wav,135.32,135.86,KCHI,m ɛ n ɛ
