filename,onset,offset,speaker,phonemes
sub-G5V0N0H4J0_ses-01_task-dailyroutine_run-01_audio__0c6c4d35c3e4a5db0312b1a8959e4387.wav,3.98,4.56,KCHI,
sub-G5V0N0H4J0_ses-01_task-dailyroutine_run-01_audio__0c6c4d35c3e4a5db0312b1a8959e4387.wav,4.96,5.84,KCHI,
sub-G5V0N0H4J0_ses-01_task-dailyroutine_run-01_audio__0c6c4d35c3e4a5db0312b1a8959e4387.wav,8.38,9.08,KCHI,
sub-G5V0N0H4J0_ses-01_task-dailyroutine_run-01_audio__0c6c4d35c3e4a5db0312b1a8959e4387.wav,11.94,12.66,KCHI,ʌ
sub-G5V0N0H4J0_ses-01_task-dailyroutine_run-01_audio__0c6c4d35c3e4a5db0312b1a8959e4387.wav,12.84,13.68,KCHI,
sub-G5V0N0H4J0_ses-01_task-dailyroutine_run-01_audio__0c6c4d35c3e4a5db0312b1a8959e4387.wav,14.96,15.48,KCHI,ɛ
sub-G5V0N0H4J0_ses-01_task-dailyroutine_run-01_audio__0c6c4d35c3e4a5db0312b1a8959e4387.wav,15.92,16.46,KCHI,
sub-G5V0N0H4J0_ses-01_task-dailyroutine_run-01_audio__0c6c4d35c3e4a5db0312b1a8959e4387.wav,29.34,29.78,KCHI,
sub-G5V0N0H4J0_ses-01_task-dailyroutine_run-01_audio__0c6c4d35c3e4a5db0312b1a8959e4387.wav,39.38,41.36,KCHI,
sub-G5V0N0H4J0_ses-01_task-dailyroutine_run-01_audio__0c6c4d35c3e4a5db0312b1a8959e4387.wav,44.84,47.4,KCHI,
sub-G5V0N0H4J0_ses-01_task-dailyroutine_run-01_audio__0c6c4d35c3e4a5db0312b1a8959e4387.wav,67.66,68.46,KCHI,
sub-G5V0N0H4J0_ses-01_task-dailyroutine_run-01_audio__0c6c4d35c3e4a5db0312b1a8959e4387.wav,70.86,71.36,KCHI,h u
sub-G5V0N0H4J0_ses-01_task-dailyroutine_run-01_audio__0c6c4d35c3e4a5db0312b1a8959e4387.wav,71.64,71.92,KCHI,
