filename,onset,offset,speaker,phonemes
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__5791b58dca737f125919e064a7fc3045.wav,3.98,4.64,KCHI,b a w
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__5791b58dca737f125919e064a7fc3045.wav,8.78,9.32,KCHI,
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__5791b58dca737f125919e064a7fc3045.wav,9.46,10.4,KCHI,
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__5791b58dca737f125919e064a7fc3045.wav,11.68,11.86,KCHI,
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__5791b58dca737f125919e064a7fc3045.wav,16.16,17.08,KCHI,ɛ d o
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__5791b58dca737f125919e064a7fc3045.wav,21.08,21.94,KCHI,
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__5791b58dca737f125919e064a7fc3045.wav,25.0,25.82,KCHI,n e f
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__5791b58dca737f125919e064a7fc3045.wav,28.54,29.16,KCHI,ɛ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__5791b58dca737f125919e064a7fc3045.wav,34.08,34.94,KCHI,ɛ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__5791b58dca737f125919e064a7fc3045.wav,36.8,37.66,KCHI,m e
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__5791b58dca737f125919e064a7fc3045.wav,40.6,41.56,KCHI,ɛ
