filename,onset,offset,speaker,phonemes
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,0.06,2.02,KCHI,ɪ d ʌ z ɪ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,15.84,17.58,KCHI,ɛ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,33.56,34.94,KCHI,æ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,41.56,41.74,KCHI,
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,53.42,55.56,KCHI,æ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,55.72,57.86,KCHI,ə ɛ ɛ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,69.84,70.76,KCHI,a ɛ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,72.36,73.3,KCHI,a a
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,97.78,99.9,KCHI,o k e
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,120.94,121.38,KCHI,æ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,125.16,126.2,KCHI,ʌ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,138.66,139.3,KCHI,h ʊ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,143.16,143.28,KCHI,n
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,152.4,152.92,KCHI,
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,157.88,158.9,KCHI,æ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,161.4,162.6,KCHI,æ w æ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,167.36,168.32,KCHI,ʌ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,169.74,173.8,KCHI,ʌ ɛ h ʌ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,174.56,176.18,KCHI,a a j e
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,182.74,183.52,KCHI,h ɛ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,222.44,223.14,KCHI,d ʌ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,232.3,235.36,KCHI,l e ʌ ʌ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,261.38,263.22,KCHI,æ ɪ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,269.06,269.92,KCHI,h ɪ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,272.84,273.3,KCHI,ʌ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,275.58,275.98,KCHI,
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,276.86,277.82,KCHI,ʌ
sub-G7P6U6U2J5_ses-01_task-generalsocialcommunicationinteraction_run-04_audio__f60f5ae3f7750c8a516dc50b2f82bfca.wav,281.04,282.0,KCHI,ɛ
