filename,onset,offset,speaker,phonemes
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,3.98,6.3,KCHI,a
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,10.02,11.38,KCHI,æ
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,11.94,12.18,KCHI,
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,12.52,13.7,KCHI,n
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,24.34,24.52,KCHI,
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,25.74,27.56,KCHI,w ə
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,29.52,30.28,KCHI,m i
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,33.98,35.82,KCHI,w a ɪ l o u n
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,37.34,38.1,KCHI,
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,44.66,46.4,KCHI,ə h æ
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,48.74,49.76,KCHI,h o
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,53.06,55.0,KCHI,æ h o
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,64.74,65.38,KCHI,e m u
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,66.28,67.88,KCHI,p o d a n
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,70.3,71.64,KCHI,
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,76.62,77.56,KCHI,n o
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,79.76,81.0,KCHI,æ
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,86.26,87.56,KCHI,
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,93.64,94.36,KCHI,
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,98.54,99.26,KCHI,æ
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,99.7,101.24,KCHI,
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,108.22,109.3,KCHI,n æ a ʊ
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,119.7,121.78,KCHI,m a ɪ m ɡ o l o p ə d ɪ s
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,127.36,128.62,KCHI,
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,136.82,138.62,KCHI,a
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,149.7,150.58,KCHI,æ
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,151.02,151.24,KCHI,
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,160.04,163.88,KCHI,ə t ɪ k o m a ʊ v i
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,165.26,166.4,KCHI,a
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,177.48,177.9,KCHI,w u
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,179.1,179.5,KCHI,
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,200.08,202.14,KCHI,a æ
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,205.3,206.1,KCHI,b ɔ l ɐ
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,217.78,218.9,KCHI,
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,221.08,222.88,KCHI,ɪ s n ɑ t w ʌ ʃ ɪ n s
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,224.1,225.18,KCHI,
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,226.74,227.62,KCHI,
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,230.0,230.84,KCHI,
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,234.02,234.8,KCHI,o b a
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,249.04,252.26,KCHI,a
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,267.38,267.6,KCHI,
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,275.34,275.96,KCHI,
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,276.78,277.54,KCHI,ʌ
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,282.58,282.92,KCHI,
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,284.58,285.26,KCHI,r ə
sub-G7P6U6U2J5_ses-01_task-toyplay_run-01_audio__1f226b42a393379a005e2d0347a6b13f.wav,285.5,285.84,KCHI,æ
