filename,onset,offset,speaker,phonemes
sub-G7P6U6U2J5_ses-02_task-motorplay_run-01_audio__ae5e48ef897fbfc7368d4a4f3e3b1c6b.wav,12.6,13.7,KCHI,
sub-G7P6U6U2J5_ses-02_task-motorplay_run-01_audio__ae5e48ef897fbfc7368d4a4f3e3b1c6b.wav,13.92,15.18,KCHI,
sub-G7P6U6U2J5_ses-02_task-motorplay_run-01_audio__ae5e48ef897fbfc7368d4a4f3e3b1c6b.wav,23.06,23.4,KCHI,
sub-G7P6U6U2J5_ses-02_task-motorplay_run-01_audio__ae5e48ef897fbfc7368d4a4f3e3b1c6b.wav,29.14,29.56,KCHI,
sub-G7P6U6U2J5_ses-02_task-motorplay_run-01_audio__ae5e48ef897fbfc7368d4a4f3e3b1c6b.wav,33.58,33.72,KCHI,
sub-G7P6U6U2J5_ses-02_task-motorplay_run-01_audio__ae5e48ef897fbfc7368d4a4f3e3b1c6b.wav,47.0,47.92,KCHI,w ɔ
sub-G7P6U6U2J5_ses-02_task-motorplay_run-01_audio__ae5e48ef897fbfc7368d4a4f3e3b1c6b.wav,49.56,50.88,KCHI,w ɔ w ɔ f
sub-G7P6U6U2J5_ses-02_task-motorplay_run-01_audio__ae5e48ef897fbfc7368d4a4f3e3b1c6b.wav,52.96,54.66,KCHI,w ɔ f w ɔ f
sub-G7P6U6U2J5_ses-02_task-motorplay_run-01_audio__ae5e48ef897fbfc7368d4a4f3e3b1c6b.wav,57.54,58.14,KCHI,
sub-G7P6U6U2J5_ses-02_task-motorplay_run-01_audio__ae5e48ef897fbfc7368d4a4f3e3b1c6b.wav,64.06,66.26,KCHI,y
