filename,onset,offset,speaker,phonemes
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,0.78,3.58,KCHI,b ĩ ɡ ɐ d ĩ k ɐ
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,5.2,5.98,KCHI,a d e
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,7.96,12.96,KCHI,ɡ ɑ̃ ɡ e ĩ k ɑ̃ b ĩ ɡ õ u
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,15.04,15.92,KCHI,b ɔ
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,17.62,19.82,KCHI,k ĩ ɡ ɑ̃ k ĩ
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,20.12,23.08,KCHI,k ɑ̃ d ĩ ɡ ɔ
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,23.88,24.28,KCHI,
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,25.12,25.64,KCHI,
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,27.7,27.86,KCHI,b u
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,28.26,29.5,KCHI,k ĩ
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,30.34,31.84,KCHI,k ĩ k ɑ̃ n ɡ ĩ
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,32.94,35.08,KCHI,ĩ k ɔ l ɡ ĩ ɡ o
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,35.82,36.42,KCHI,
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,36.84,41.24,KCHI,p ɑ̃ ɡ ĩ s ĩ ɡ ɔ k ĩ m
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,41.5,43.78,KCHI,t ĩ k ɔ k ĩ k ɔ
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,44.04,44.2,KCHI,t u
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,44.38,46.14,KCHI,u u u
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,47.76,49.6,KCHI,b ɑ̃ ɡ ĩ m b u
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,49.96,55.72,KCHI,s ĩ ɡ ɑ̃ ɡ l ɐ̃ j ĩ k ɑ̃ k ɛ k ɑ̃ i u
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,60.0,61.12,KCHI,l a s ɔ
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,61.54,61.64,KCHI,
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,61.84,62.22,KCHI,
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,62.36,63.12,KCHI,j u
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,64.46,65.28,KCHI,k i
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,65.48,67.5,KCHI,i k t a k ĩ d ɑ̃
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,67.66,69.66,KCHI,l u
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,70.48,72.66,KCHI,b ɑ̃ ĩ ɡ a a p ĩ
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,72.78,74.96,KCHI,s i ɐ̃ k a j ɛ
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,75.2,76.36,KCHI,j e k ɐ
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,77.74,79.6,KCHI,l u
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,83.58,84.34,KCHI,
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,84.7,86.72,KCHI,k ɐ̃ ɡ ɑ̃ b p ĩ
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,87.46,88.34,KCHI,ɡ ɑ̃
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,94.12,95.34,KCHI,ɡ e b u
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,96.14,98.1,KCHI,k ɐ̃ k ɑ̃ k e j ɐ
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,98.42,104.76,KCHI,ĩ ɡ ɑ̃ b i m v ɑ̃ b m i u z u b ɑ̃ k e b u
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,105.52,106.42,KCHI,ʁ ɑ̃
sub-G7P6U6U2J5_ses-02_task-socialroutine_run-01_audio__f1e868bbbbf6e4df5f8a8dd9947fe413.wav,106.82,107.12,KCHI,
