filename,onset,offset,speaker,phonemes
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__6e2de0db14fc4e0956e5b92413ed9c00.wav,0.0,0.68,KCHI,
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__6e2de0db14fc4e0956e5b92413ed9c00.wav,1.72,2.3,KCHI,ʌ
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__6e2de0db14fc4e0956e5b92413ed9c00.wav,3.92,5.14,KCHI,ʌ
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__6e2de0db14fc4e0956e5b92413ed9c00.wav,15.0,16.18,KCHI,
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__6e2de0db14fc4e0956e5b92413ed9c00.wav,20.32,21.42,KCHI,
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__6e2de0db14fc4e0956e5b92413ed9c00.wav,21.96,24.4,KCHI,o
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__6e2de0db14fc4e0956e5b92413ed9c00.wav,28.34,30.94,KCHI,
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__6e2de0db14fc4e0956e5b92413ed9c00.wav,40.76,41.52,KCHI,w ʌ
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__6e2de0db14fc4e0956e5b92413ed9c00.wav,43.96,44.2,KCHI,
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__6e2de0db14fc4e0956e5b92413ed9c00.wav,50.0,51.36,KCHI,
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__6e2de0db14fc4e0956e5b92413ed9c00.wav,51.74,53.18,KCHI,
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__6e2de0db14fc4e0956e5b92413ed9c00.wav,57.22,59.12,KCHI,h ʌ ʌ
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__6e2de0db14fc4e0956e5b92413ed9c00.wav,69.9,71.64,KCHI,
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__6e2de0db14fc4e0956e5b92413ed9c00.wav,71.8,72.42,KCHI,
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__6e2de0db14fc4e0956e5b92413ed9c00.wav,73.36,75.2,KCHI,ʌ
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__6e2de0db14fc4e0956e5b92413ed9c00.wav,75.62,76.7,KCHI,
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__6e2de0db14fc4e0956e5b92413ed9c00.wav,79.42,80.32,KCHI,
