filename,onset,offset,speaker,phonemes
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-06_audio__47dc429cf202ae84d5f235c2bea91491.wav,0.88,4.7,KCHI,k ʌ k i k a d d i ɡ a m
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-06_audio__47dc429cf202ae84d5f235c2bea91491.wav,13.62,14.18,KCHI,h u
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-06_audio__47dc429cf202ae84d5f235c2bea91491.wav,15.36,15.84,KCHI,k ɑ
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-06_audio__47dc429cf202ae84d5f235c2bea91491.wav,15.96,16.26,KCHI,k ə
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-06_audio__47dc429cf202ae84d5f235c2bea91491.wav,19.9,23.76,KCHI,k ʊ k e k i k a n d o d a j a n e
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-06_audio__47dc429cf202ae84d5f235c2bea91491.wav,26.54,30.5,KCHI,k a a l a
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-06_audio__47dc429cf202ae84d5f235c2bea91491.wav,34.86,36.32,KCHI,k a k ʁ i
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-06_audio__47dc429cf202ae84d5f235c2bea91491.wav,38.72,39.68,KCHI,
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-06_audio__47dc429cf202ae84d5f235c2bea91491.wav,40.44,40.98,KCHI,k a
sub-G8Q8I6N0I3_ses-02_task-generalsocialcommunicationinteraction_run-06_audio__47dc429cf202ae84d5f235c2bea91491.wav,41.68,43.54,KCHI,ɡ ɡ
