filename,onset,offset,speaker,phonemes
sub-H3B5L5F8T1_ses-01_task-dailyroutine_run-07_audio__b29c65b1aa9c18d0f544cecbb794b1c4.wav,0.82,2.44,KCHI,
sub-H3B5L5F8T1_ses-01_task-dailyroutine_run-07_audio__b29c65b1aa9c18d0f544cecbb794b1c4.wav,4.96,6.48,KCHI,k a k a
sub-H3B5L5F8T1_ses-01_task-dailyroutine_run-07_audio__b29c65b1aa9c18d0f544cecbb794b1c4.wav,7.96,9.0,KCHI,k a k a
sub-H3B5L5F8T1_ses-01_task-dailyroutine_run-07_audio__b29c65b1aa9c18d0f544cecbb794b1c4.wav,11.32,13.08,KCHI,k a k a k
sub-H3B5L5F8T1_ses-01_task-dailyroutine_run-07_audio__b29c65b1aa9c18d0f544cecbb794b1c4.wav,24.42,25.08,KCHI,k o
sub-H3B5L5F8T1_ses-01_task-dailyroutine_run-07_audio__b29c65b1aa9c18d0f544cecbb794b1c4.wav,31.08,31.84,KCHI,
sub-H3B5L5F8T1_ses-01_task-dailyroutine_run-07_audio__b29c65b1aa9c18d0f544cecbb794b1c4.wav,32.14,33.66,KCHI,ɡ o ɡ ʌ k
sub-H3B5L5F8T1_ses-01_task-dailyroutine_run-07_audio__b29c65b1aa9c18d0f544cecbb794b1c4.wav,43.98,44.68,KCHI,ɡ ɑ
sub-H3B5L5F8T1_ses-01_task-dailyroutine_run-07_audio__b29c65b1aa9c18d0f544cecbb794b1c4.wav,45.46,45.96,KCHI,
sub-H3B5L5F8T1_ses-01_task-dailyroutine_run-07_audio__b29c65b1aa9c18d0f544cecbb794b1c4.wav,48.06,49.26,KCHI,k o k o k ʌ
