filename,onset,offset,speaker,phonemes
sub-J3J0V4T8C3_ses-01_task-socialroutine_run-01_audio__f559f23b5a11c16664b8dafab1b1a8d0.wav,0.16,2.62,KCHI,k a k k a k a k a
sub-J3J0V4T8C3_ses-01_task-socialroutine_run-01_audio__f559f23b5a11c16664b8dafab1b1a8d0.wav,7.96,11.38,KCHI,
sub-J3J0V4T8C3_ses-01_task-socialroutine_run-01_audio__f559f23b5a11c16664b8dafab1b1a8d0.wav,12.4,12.66,KCHI,a
sub-J3J0V4T8C3_ses-01_task-socialroutine_run-01_audio__f559f23b5a11c16664b8dafab1b1a8d0.wav,14.52,17.08,KCHI,
sub-J3J0V4T8C3_ses-01_task-socialroutine_run-01_audio__f559f23b5a11c16664b8dafab1b1a8d0.wav,17.26,18.26,KCHI,
sub-J3J0V4T8C3_ses-01_task-socialroutine_run-01_audio__f559f23b5a11c16664b8dafab1b1a8d0.wav,18.56,21.16,KCHI,
sub-J3J0V4T8C3_ses-01_task-socialroutine_run-01_audio__f559f23b5a11c16664b8dafab1b1a8d0.wav,22.7,23.26,KCHI,
sub-J3J0V4T8C3_ses-01_task-socialroutine_run-01_audio__f559f23b5a11c16664b8dafab1b1a8d0.wav,24.5,24.78,KCHI,
sub-J3J0V4T8C3_ses-01_task-socialroutine_run-01_audio__f559f23b5a11c16664b8dafab1b1a8d0.wav,25.2,26.14,KCHI,e
sub-J3J0V4T8C3_ses-01_task-socialroutine_run-01_audio__f559f23b5a11c16664b8dafab1b1a8d0.wav,26.44,27.86,KCHI,e i
sub-J3J0V4T8C3_ses-01_task-socialroutine_run-01_audio__f559f23b5a11c16664b8dafab1b1a8d0.wav,28.58,29.14,KCHI,ĩ
