filename,onset,offset,speaker,phonemes
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__601ba64942bdb64c747f82939f24c43c.wav,1.46,3.36,KCHI,a ʁ a d ʁ ə d a
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__601ba64942bdb64c747f82939f24c43c.wav,5.5,6.86,KCHI,d ʁ u d ɛ j ɛ
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__601ba64942bdb64c747f82939f24c43c.wav,10.52,11.74,KCHI,d ɡ a j a
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__601ba64942bdb64c747f82939f24c43c.wav,12.12,13.74,KCHI,d ʁ ɛ p e
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__601ba64942bdb64c747f82939f24c43c.wav,15.92,18.74,KCHI,ʁ a d ʁ a d a
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__601ba64942bdb64c747f82939f24c43c.wav,21.86,23.36,KCHI,z e ʁ ə ɡ a
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__601ba64942bdb64c747f82939f24c43c.wav,23.88,24.94,KCHI,d e ʁ ə d ɡ a
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__601ba64942bdb64c747f82939f24c43c.wav,26.56,27.5,KCHI,ə d a
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__601ba64942bdb64c747f82939f24c43c.wav,30.48,31.84,KCHI,a t i ɡ o d a d i ɡ
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__601ba64942bdb64c747f82939f24c43c.wav,33.88,35.3,KCHI,t i ɡ ɔ t i ɡ o l a
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__601ba64942bdb64c747f82939f24c43c.wav,39.8,41.5,KCHI,ɡ ɔ t i ʁ ɔ t i ɡ o d a
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__601ba64942bdb64c747f82939f24c43c.wav,46.0,47.76,KCHI,ɔ d i ɡ ɔ t i ʁ o t i ʁ ɔ l a
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__601ba64942bdb64c747f82939f24c43c.wav,51.22,51.74,KCHI,s e ɡ a
