filename,onset,offset,speaker,phonemes
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__624d48c72c838a8b856f897174b9e757.wav,0.0,0.16,KCHI,
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__624d48c72c838a8b856f897174b9e757.wav,6.24,6.76,KCHI,h ʌ
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__624d48c72c838a8b856f897174b9e757.wav,10.18,11.88,KCHI,j a j a j a j
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__624d48c72c838a8b856f897174b9e757.wav,16.16,17.88,KCHI,t a d a d a j a j
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__624d48c72c838a8b856f897174b9e757.wav,19.9,21.44,KCHI,s e a d a d ɐ
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__624d48c72c838a8b856f897174b9e757.wav,23.44,25.36,KCHI,s e a k ɛ
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__624d48c72c838a8b856f897174b9e757.wav,26.82,28.04,KCHI,t i
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__624d48c72c838a8b856f897174b9e757.wav,31.84,35.36,KCHI,d a d a ɡ a s m i
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__624d48c72c838a8b856f897174b9e757.wav,38.44,39.54,KCHI,s a
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__624d48c72c838a8b856f897174b9e757.wav,39.8,40.9,KCHI,t ɔ
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__624d48c72c838a8b856f897174b9e757.wav,43.04,44.26,KCHI,t a
sub-J4J6X7C4D9_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__624d48c72c838a8b856f897174b9e757.wav,45.96,48.88,KCHI,t ɔ t a t a d e d e
