filename,onset,offset,speaker,phonemes
sub-K2F6S2Q7M8_ses-02_task-motorplay_run-01_audio__0f2b1a7605bb834d9a8b2958c3d9704b.wav,0.04,0.46,KCHI,
sub-K2F6S2Q7M8_ses-02_task-motorplay_run-01_audio__0f2b1a7605bb834d9a8b2958c3d9704b.wav,1.0,1.38,KCHI,n o
sub-K2F6S2Q7M8_ses-02_task-motorplay_run-01_audio__0f2b1a7605bb834d9a8b2958c3d9704b.wav,3.02,3.98,KCHI,æ
sub-K2F6S2Q7M8_ses-02_task-motorplay_run-01_audio__0f2b1a7605bb834d9a8b2958c3d9704b.wav,11.94,14.1,KCHI,f a d
sub-K2F6S2Q7M8_ses-02_task-motorplay_run-01_audio__0f2b1a7605bb834d9a8b2958c3d9704b.wav,29.34,29.58,KCHI,
sub-K2F6S2Q7M8_ses-02_task-motorplay_run-01_audio__0f2b1a7605bb834d9a8b2958c3d9704b.wav,32.54,33.26,KCHI,æ
sub-K2F6S2Q7M8_ses-02_task-motorplay_run-01_audio__0f2b1a7605bb834d9a8b2958c3d9704b.wav,34.18,34.92,KCHI,æ
sub-K2F6S2Q7M8_ses-02_task-motorplay_run-01_audio__0f2b1a7605bb834d9a8b2958c3d9704b.wav,35.24,36.22,KCHI,
sub-K2F6S2Q7M8_ses-02_task-motorplay_run-01_audio__0f2b1a7605bb834d9a8b2958c3d9704b.wav,38.08,38.66,KCHI,æ
sub-K2F6S2Q7M8_ses-02_task-motorplay_run-01_audio__0f2b1a7605bb834d9a8b2958c3d9704b.wav,42.82,43.5,KCHI,k æ t
