filename,onset,offset,speaker,phonemes
sub-K6O1J5K7Z0_ses-02_task-dailyroutine_run-03_audio__2066295c8dc43934353df432f2205bf5.wav,0.0,0.74,KCHI,t a s a
sub-K6O1J5K7Z0_ses-02_task-dailyroutine_run-03_audio__2066295c8dc43934353df432f2205bf5.wav,1.88,3.08,KCHI,o j y
sub-K6O1J5K7Z0_ses-02_task-dailyroutine_run-03_audio__2066295c8dc43934353df432f2205bf5.wav,3.8,5.6,KCHI,o t i b e s i
sub-K6O1J5K7Z0_ses-02_task-dailyroutine_run-03_audio__2066295c8dc43934353df432f2205bf5.wav,6.44,18.56,KCHI,w i t u t s e w i s i s ɛ d ɔ̃ s e e s o e t i z e n ɔ̃ ɑ̃ d e ɑ̃ d ɔ̃ ʁ o ɡ i s i s p a
sub-K6O1J5K7Z0_ses-02_task-dailyroutine_run-03_audio__2066295c8dc43934353df432f2205bf5.wav,20.36,25.5,KCHI,s e i a z u i s u s u w i
sub-K6O1J5K7Z0_ses-02_task-dailyroutine_run-03_audio__2066295c8dc43934353df432f2205bf5.wav,25.78,27.86,KCHI,ɔ n ɔ̃ s i j w i
sub-K6O1J5K7Z0_ses-02_task-dailyroutine_run-03_audio__2066295c8dc43934353df432f2205bf5.wav,30.1,31.84,KCHI,o b w a z a a
sub-K6O1J5K7Z0_ses-02_task-dailyroutine_run-03_audio__2066295c8dc43934353df432f2205bf5.wav,35.4,36.48,KCHI,w ʌ
sub-K6O1J5K7Z0_ses-02_task-dailyroutine_run-03_audio__2066295c8dc43934353df432f2205bf5.wav,38.5,39.14,KCHI,o
sub-K6O1J5K7Z0_ses-02_task-dailyroutine_run-03_audio__2066295c8dc43934353df432f2205bf5.wav,45.0,48.36,KCHI,h a ɪ m j e d u ʌ b o s i ʃ i z
