filename,onset,offset,speaker,phonemes
sub-L0B0Q5O3Q3_ses-01_task-dailyroutine_run-06_audio__8b973eb0cfa8d1de0af64f14a64f856c.wav,7.82,7.96,KCHI,
sub-L0B0Q5O3Q3_ses-01_task-dailyroutine_run-06_audio__8b973eb0cfa8d1de0af64f14a64f856c.wav,10.44,11.4,KCHI,
sub-L0B0Q5O3Q3_ses-01_task-dailyroutine_run-06_audio__8b973eb0cfa8d1de0af64f14a64f856c.wav,12.22,13.5,KCHI,æ
sub-L0B0Q5O3Q3_ses-01_task-dailyroutine_run-06_audio__8b973eb0cfa8d1de0af64f14a64f856c.wav,14.48,15.82,KCHI,
sub-L0B0Q5O3Q3_ses-01_task-dailyroutine_run-06_audio__8b973eb0cfa8d1de0af64f14a64f856c.wav,16.88,17.46,KCHI,a
sub-L0B0Q5O3Q3_ses-01_task-dailyroutine_run-06_audio__8b973eb0cfa8d1de0af64f14a64f856c.wav,17.8,18.8,KCHI,
sub-L0B0Q5O3Q3_ses-01_task-dailyroutine_run-06_audio__8b973eb0cfa8d1de0af64f14a64f856c.wav,19.54,21.08,KCHI,a
sub-L0B0Q5O3Q3_ses-01_task-dailyroutine_run-06_audio__8b973eb0cfa8d1de0af64f14a64f856c.wav,28.98,29.54,KCHI,
sub-L0B0Q5O3Q3_ses-01_task-dailyroutine_run-06_audio__8b973eb0cfa8d1de0af64f14a64f856c.wav,30.98,31.58,KCHI,a
sub-L0B0Q5O3Q3_ses-01_task-dailyroutine_run-06_audio__8b973eb0cfa8d1de0af64f14a64f856c.wav,31.84,32.56,KCHI,
sub-L0B0Q5O3Q3_ses-01_task-dailyroutine_run-06_audio__8b973eb0cfa8d1de0af64f14a64f856c.wav,36.52,37.7,KCHI,a
sub-L0B0Q5O3Q3_ses-01_task-dailyroutine_run-06_audio__8b973eb0cfa8d1de0af64f14a64f856c.wav,57.94,58.54,KCHI,ɛ̃
sub-L0B0Q5O3Q3_ses-01_task-dailyroutine_run-06_audio__8b973eb0cfa8d1de0af64f14a64f856c.wav,59.7,60.42,KCHI,
