filename,onset,offset,speaker,phonemes
sub-L0B0Q5O3Q3_ses-01_task-other_run-01_audio__72d951b7f17f717da533dc400c0a72d2.wav,7.0,8.66,KCHI,æ æ
sub-L0B0Q5O3Q3_ses-01_task-other_run-01_audio__72d951b7f17f717da533dc400c0a72d2.wav,18.02,18.32,KCHI,a
sub-L0B0Q5O3Q3_ses-01_task-other_run-01_audio__72d951b7f17f717da533dc400c0a72d2.wav,19.3,19.56,KCHI,a
sub-L0B0Q5O3Q3_ses-01_task-other_run-01_audio__72d951b7f17f717da533dc400c0a72d2.wav,44.34,45.6,KCHI,h ɪ a
sub-L0B0Q5O3Q3_ses-01_task-other_run-01_audio__72d951b7f17f717da533dc400c0a72d2.wav,61.84,62.16,KCHI,
sub-L0B0Q5O3Q3_ses-01_task-other_run-01_audio__72d951b7f17f717da533dc400c0a72d2.wav,62.56,62.66,KCHI,ʌ
sub-L0B0Q5O3Q3_ses-01_task-other_run-01_audio__72d951b7f17f717da533dc400c0a72d2.wav,64.22,64.9,KCHI,a
sub-L0B0Q5O3Q3_ses-01_task-other_run-01_audio__72d951b7f17f717da533dc400c0a72d2.wav,65.46,66.04,KCHI,a
sub-L0B0Q5O3Q3_ses-01_task-other_run-01_audio__72d951b7f17f717da533dc400c0a72d2.wav,66.68,66.8,KCHI,ɪ
sub-L0B0Q5O3Q3_ses-01_task-other_run-01_audio__72d951b7f17f717da533dc400c0a72d2.wav,82.88,83.68,KCHI,ʌ
sub-L0B0Q5O3Q3_ses-01_task-other_run-01_audio__72d951b7f17f717da533dc400c0a72d2.wav,85.12,87.56,KCHI,æ æ æ
