filename,onset,offset,speaker,phonemes
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,0.0,0.32,KCHI,
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,0.66,2.02,KCHI,i
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,2.66,3.94,KCHI,i
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,4.56,5.68,KCHI,i
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,8.64,9.44,KCHI,i
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,10.06,11.0,KCHI,ɹ ɛ
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,13.04,14.28,KCHI,ɛ b
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,15.92,17.06,KCHI,ɛ f
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,19.42,20.48,KCHI,b u
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,21.98,23.04,KCHI,ʃ i
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,23.88,24.66,KCHI,i
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,25.72,26.88,KCHI,h i
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,27.9,29.38,KCHI,h i j ɛ w o ʊ
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,32.24,33.7,KCHI,e ʃ
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,34.12,35.44,KCHI,e
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,37.5,38.42,KCHI,m i
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,41.02,42.78,KCHI,
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,47.26,49.72,KCHI,a ɛ s t
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,50.78,52.02,KCHI,ɡ o
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,54.82,55.46,KCHI,d æ
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,56.84,57.72,KCHI,d i
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,59.2,60.14,KCHI,d æ i
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,65.46,66.66,KCHI,a ɪ
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,67.66,67.8,KCHI,
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,68.56,70.06,KCHI,a ɪ
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,71.72,72.94,KCHI,a ɪ
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-07_audio__040f2160ccca0bc5ee4c17297ba3a44e.wav,74.32,75.16,KCHI,b ɛ d
