filename,onset,offset,speaker,phonemes
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,4.12,5.64,KCHI,w i ŋ f ʌ n s
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,7.96,9.64,KCHI,h o ʊ h o ʊ h o ʊ
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,12.24,15.92,KCHI,a k w i ə ɹ ə ɹ s e ɪ
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,17.06,18.5,KCHI,a ɪ ɹ u
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,23.0,24.14,KCHI,w o r
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,24.46,26.48,KCHI,h a f ɪ s
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,28.94,30.4,KCHI,h h ʊ h ʊ
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,33.6,38.7,KCHI,d ə ʒ u o ʊ k w i a ɪ f a ɪ s e e ɹ u
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,42.08,42.6,KCHI,o
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,54.02,56.5,KCHI,w a ɪ o ʃ ɛ s
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,59.18,61.36,KCHI,ɪ d ɪ h ʌ k w i
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,61.84,65.54,KCHI,ə s a d e e j u e
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,67.66,72.68,KCHI,v a l h a t ə k ɪ k ɔ n a s i k o n
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,73.28,78.7,KCHI,w a f ɪ k ə l w a n h a s ɛ ə ʃ i s
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,79.18,84.94,KCHI,m ʌ n a s i s m a m i w a n a ɪ p ɔ p f
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,86.0,88.44,KCHI,w ə n t ø f a ɪ
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,94.82,98.38,KCHI,v a t ø v a i
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,99.5,105.66,KCHI,w ʌ n k a ʃ ɪ s w ʌ n k a k ɪ k w ʌ n w a s i z ə
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,106.28,107.46,KCHI,w a ə r
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,126.3,127.74,KCHI,h ʌ d k e
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,134.84,135.32,KCHI,ʌ
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,148.3,151.6,KCHI,b ɪ ɡ f æ k ɛ r b ɪ
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-10_audio__157599fb6a8d9c682b1c58594c4cdd16.wav,151.78,151.94,KCHI,
