filename,onset,offset,speaker,phonemes
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-12_audio__8ce6b1e4b96f98ff5213f20ad80fa82f.wav,0.0,3.42,KCHI,d a e l ə ɪ s v u h ɔ s
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-12_audio__8ce6b1e4b96f98ff5213f20ad80fa82f.wav,6.24,9.7,KCHI,i f a v e i v ɔ v a h a ʊ d ə t ə t u
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-12_audio__8ce6b1e4b96f98ff5213f20ad80fa82f.wav,10.08,11.94,KCHI,h a ʊ t u d ə
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-12_audio__8ce6b1e4b96f98ff5213f20ad80fa82f.wav,19.22,24.86,KCHI,w ɛ ɹ ə z w ɛ l b ɪ w ɛ ɹ ɪ z w ɪ b ə
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-12_audio__8ce6b1e4b96f98ff5213f20ad80fa82f.wav,33.3,34.3,KCHI,v e
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-12_audio__8ce6b1e4b96f98ff5213f20ad80fa82f.wav,37.68,39.42,KCHI,t i d o z
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-12_audio__8ce6b1e4b96f98ff5213f20ad80fa82f.wav,39.8,41.42,KCHI,t æ d ə b a
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-12_audio__8ce6b1e4b96f98ff5213f20ad80fa82f.wav,42.52,43.3,KCHI,ʌ t
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-12_audio__8ce6b1e4b96f98ff5213f20ad80fa82f.wav,44.0,44.88,KCHI,ʌ
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-12_audio__8ce6b1e4b96f98ff5213f20ad80fa82f.wav,47.88,52.76,KCHI,m u ɪ z m a l b ɪ w ɛ ɹ ɪ z v ɛ f b ə
sub-L0B0Q5O3Q3_ses-02_task-toyplay_run-12_audio__8ce6b1e4b96f98ff5213f20ad80fa82f.wav,55.72,59.7,KCHI,v ɪ f ɪ n ɔ v ə h a ʊ t ə t ɑ d u
