filename,onset,offset,speaker,phonemes
sub-L3F0P2N3D1_ses-01_task-generalsocialcommunicationinteraction_run-06_audio__f76bd1fb1e9ccb8389a59f305e184aca.wav,5.74,7.24,KCHI,o ɛ
sub-L3F0P2N3D1_ses-01_task-generalsocialcommunicationinteraction_run-06_audio__f76bd1fb1e9ccb8389a59f305e184aca.wav,9.66,11.26,KCHI,u
sub-L3F0P2N3D1_ses-01_task-generalsocialcommunicationinteraction_run-06_audio__f76bd1fb1e9ccb8389a59f305e184aca.wav,14.66,15.64,KCHI,
sub-L3F0P2N3D1_ses-01_task-generalsocialcommunicationinteraction_run-06_audio__f76bd1fb1e9ccb8389a59f305e184aca.wav,18.72,19.86,KCHI,u ɛ
sub-L3F0P2N3D1_ses-01_task-generalsocialcommunicationinteraction_run-06_audio__f76bd1fb1e9ccb8389a59f305e184aca.wav,20.58,21.7,KCHI,n ɑ̃
sub-L3F0P2N3D1_ses-01_task-generalsocialcommunicationinteraction_run-06_audio__f76bd1fb1e9ccb8389a59f305e184aca.wav,24.32,25.52,KCHI,a
sub-L3F0P2N3D1_ses-01_task-generalsocialcommunicationinteraction_run-06_audio__f76bd1fb1e9ccb8389a59f305e184aca.wav,27.34,28.8,KCHI,a m a m a
sub-L3F0P2N3D1_ses-01_task-generalsocialcommunicationinteraction_run-06_audio__f76bd1fb1e9ccb8389a59f305e184aca.wav,30.4,31.22,KCHI,n a n a
sub-L3F0P2N3D1_ses-01_task-generalsocialcommunicationinteraction_run-06_audio__f76bd1fb1e9ccb8389a59f305e184aca.wav,32.96,34.34,KCHI,a p k ø k a
sub-L3F0P2N3D1_ses-01_task-generalsocialcommunicationinteraction_run-06_audio__f76bd1fb1e9ccb8389a59f305e184aca.wav,40.78,41.7,KCHI,k ø k a
sub-L3F0P2N3D1_ses-01_task-generalsocialcommunicationinteraction_run-06_audio__f76bd1fb1e9ccb8389a59f305e184aca.wav,51.28,52.4,KCHI,
