filename,onset,offset,speaker,phonemes
sub-L4K0P3T4Q8_ses-02_task-socialroutine_run-01_audio__e89ba3db449478d7ef53d0293242842f.wav,27.86,28.1,KCHI,
sub-L4K0P3T4Q8_ses-02_task-socialroutine_run-01_audio__e89ba3db449478d7ef53d0293242842f.wav,140.48,141.18,KCHI,s ɑ k
sub-L4K0P3T4Q8_ses-02_task-socialroutine_run-01_audio__e89ba3db449478d7ef53d0293242842f.wav,162.56,163.18,KCHI,ɡ o p
sub-L4K0P3T4Q8_ses-02_task-socialroutine_run-01_audio__e89ba3db449478d7ef53d0293242842f.wav,191.04,191.88,KCHI,p ɔ s
sub-L4K0P3T4Q8_ses-02_task-socialroutine_run-01_audio__e89ba3db449478d7ef53d0293242842f.wav,192.14,193.12,KCHI,s i
sub-L4K0P3T4Q8_ses-02_task-socialroutine_run-01_audio__e89ba3db449478d7ef53d0293242842f.wav,219.02,219.28,KCHI,
sub-L4K0P3T4Q8_ses-02_task-socialroutine_run-01_audio__e89ba3db449478d7ef53d0293242842f.wav,223.74,224.14,KCHI,
sub-L4K0P3T4Q8_ses-02_task-socialroutine_run-01_audio__e89ba3db449478d7ef53d0293242842f.wav,224.54,226.48,KCHI,ɐ m a ɡ e ɐ w
sub-L4K0P3T4Q8_ses-02_task-socialroutine_run-01_audio__e89ba3db449478d7ef53d0293242842f.wav,237.62,239.52,KCHI,f ə ɪ k
sub-L4K0P3T4Q8_ses-02_task-socialroutine_run-01_audio__e89ba3db449478d7ef53d0293242842f.wav,239.74,241.96,KCHI,k ɛ z m i
sub-L4K0P3T4Q8_ses-02_task-socialroutine_run-01_audio__e89ba3db449478d7ef53d0293242842f.wav,242.78,242.96,KCHI,
