filename,onset,offset,speaker,phonemes
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,15.92,16.12,KCHI,b
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,16.96,17.08,KCHI,j u
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,17.32,17.96,KCHI,
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,18.28,19.66,KCHI,m e ɪ d ɪ b ɪ
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,23.06,23.44,KCHI,ʌ t
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,25.32,27.86,KCHI,j ɛ o n i d o t o j u
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,39.0,39.44,KCHI,t ʌ t
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,47.76,48.78,KCHI,
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,51.74,52.48,KCHI,ʌ
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,57.92,59.46,KCHI,n o
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,62.72,63.98,KCHI,m ə ɡ ɛ d ɛ t
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,64.24,66.68,KCHI,p l d o n o b a ɪ i a ɪ
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,69.46,69.82,KCHI,d ɪ
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,79.6,81.3,KCHI,o t m ɑ m i ə w a ɪ
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,81.52,83.34,KCHI,a ɪ θ i ŋ w ɛ o t
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,83.58,87.56,KCHI,d ʌ w ɛ a n ə d u b ɪ d b u
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,88.3,89.58,KCHI,ð ə w a ɪ
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,90.48,91.54,KCHI,b ʌ a j f i
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,96.04,97.76,KCHI,w ʌ d ɪ s ɪ t m a m i
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,138.82,139.3,KCHI,
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,163.18,163.98,KCHI,ɪ b ɪ
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,204.84,206.96,KCHI,
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,210.94,211.98,KCHI,
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,214.92,215.56,KCHI,d ʌ d
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,267.0,269.04,KCHI,ɡ ə b ɪ s ɛ m i m a
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,272.48,273.04,KCHI,ə m ɑ m
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,291.1,292.82,KCHI,d æ d d w a ɪ t ʌ
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,296.06,296.88,KCHI,j ʌ j ʌ
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,309.1,310.2,KCHI,ə p æ s ɪ
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,339.04,340.52,KCHI,ɪ s m a ɪ m a ɪ n
sub-L4M1H7J7G3_ses-02_task-specialoccasion_run-02_audio__11548f6009071658e7784400e2632e09.wav,345.62,346.2,KCHI,o k e ɪ
