filename,onset,offset,speaker,phonemes
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,9.7,10.64,KCHI,h e w ɛ
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,12.26,13.44,KCHI,ʌ h a ɪ
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,16.1,17.12,KCHI,b a d a ɪ
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,18.72,19.24,KCHI,h ʌ
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,20.3,22.9,KCHI,ɪ s t a d i
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,27.28,27.86,KCHI,w a t
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,36.76,39.8,KCHI,ʌ t i d u ɪ
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,40.28,40.92,KCHI,d o
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,42.9,43.78,KCHI,h i w ʌ n t
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,44.92,46.86,KCHI,a t ʌ m i
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,48.02,48.56,KCHI,j ɛ s
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,50.58,51.82,KCHI,b w ʌ t
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,52.54,54.04,KCHI,w ʌ t b a ʊ d a
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,58.06,58.94,KCHI,a ɪ d o n
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,60.74,61.84,KCHI,ə m j ɪ s
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,71.64,73.3,KCHI,w e ɪ d æ s n ʌ d ʌ m o
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,79.6,81.92,KCHI,a ɪ d o ɪ n ɪ m a ɪ h a ʊ s s
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,83.82,84.86,KCHI,d u d ə j u
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,85.86,91.24,KCHI,d u t m a i m ɑ m i m ɑ m i a ɪ b ʌ
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,99.5,100.86,KCHI,ʌ e ɪ s
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,101.52,104.32,KCHI,m ɪ s i w e o m ə m e
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,105.52,106.72,KCHI,a ɪ
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,107.52,109.1,KCHI,m a ɪ d ʒ ʊ d ɪ s
sub-L4M1H7J7G3_ses-02_task-toyplay_run-01_audio__ee481fbd46bbe54f1cfe4f8e4973cfac.wav,109.74,110.18,KCHI,j ɪ m i
