filename,onset,offset,speaker,phonemes
sub-L4M8P2T7S0_ses-01_task-motorplay_run-02_audio__953a3ff1d79d6d6966a117476b203d03.wav,8.72,9.72,KCHI,d æ d æ d æ
sub-L4M8P2T7S0_ses-01_task-motorplay_run-02_audio__953a3ff1d79d6d6966a117476b203d03.wav,10.68,11.62,KCHI,d æ d æ
sub-L4M8P2T7S0_ses-01_task-motorplay_run-02_audio__953a3ff1d79d6d6966a117476b203d03.wav,11.94,13.2,KCHI,d d æ d æ
sub-L4M8P2T7S0_ses-01_task-motorplay_run-02_audio__953a3ff1d79d6d6966a117476b203d03.wav,14.24,15.92,KCHI,ʌ b o w b a w o
sub-L4M8P2T7S0_ses-01_task-motorplay_run-02_audio__953a3ff1d79d6d6966a117476b203d03.wav,20.48,21.9,KCHI,b ʌ b ʌ w ʌ w o
sub-L4M8P2T7S0_ses-01_task-motorplay_run-02_audio__953a3ff1d79d6d6966a117476b203d03.wav,22.08,23.02,KCHI,ʌ b ʌ
sub-L4M8P2T7S0_ses-01_task-motorplay_run-02_audio__953a3ff1d79d6d6966a117476b203d03.wav,24.16,25.14,KCHI,ə w æ
sub-L4M8P2T7S0_ses-01_task-motorplay_run-02_audio__953a3ff1d79d6d6966a117476b203d03.wav,26.56,28.7,KCHI,w ʌ b ʌ b ʌ ʌ
sub-L4M8P2T7S0_ses-01_task-motorplay_run-02_audio__953a3ff1d79d6d6966a117476b203d03.wav,28.9,30.32,KCHI,ʌ b ʌ b o
sub-L4M8P2T7S0_ses-01_task-motorplay_run-02_audio__953a3ff1d79d6d6966a117476b203d03.wav,30.62,31.36,KCHI,ʌ b ʌ
sub-L4M8P2T7S0_ses-01_task-motorplay_run-02_audio__953a3ff1d79d6d6966a117476b203d03.wav,32.86,33.5,KCHI,ʌ b
sub-L4M8P2T7S0_ses-01_task-motorplay_run-02_audio__953a3ff1d79d6d6966a117476b203d03.wav,34.26,35.12,KCHI,ʌ v ʌ
sub-L4M8P2T7S0_ses-01_task-motorplay_run-02_audio__953a3ff1d79d6d6966a117476b203d03.wav,35.82,36.86,KCHI,ʌ b ʌ
sub-L4M8P2T7S0_ses-01_task-motorplay_run-02_audio__953a3ff1d79d6d6966a117476b203d03.wav,43.9,44.46,KCHI,d æ
sub-L4M8P2T7S0_ses-01_task-motorplay_run-02_audio__953a3ff1d79d6d6966a117476b203d03.wav,45.02,46.88,KCHI,d æ d æ d æ d æ
sub-L4M8P2T7S0_ses-01_task-motorplay_run-02_audio__953a3ff1d79d6d6966a117476b203d03.wav,47.2,49.66,KCHI,æ d æ
